source_type,external_id,main_category,sub_category,title,description,provider_name,instructor_name,difficulty_level,semester,url,thumbnail_url,syllabus_url,content_type,view_count,popular_score
KOCW,607f5aaa31467d55,공학,컴퓨터공학,프로그래밍개론,"본 교과목은 아두이노(Arduino) 기반의 피지컬 컴퓨팅을 구현하기 위한 기초 프로그래밍 역량을 함양하는 것을 목적으로 한다. 프로그래밍의 기본 개념인 변수, 조건문, 반복문, 함수 등을 학습하고, 이를 아두이노 환경에서 센서와 액추에이터를 제어하는 실습과 연계하여 적용한다. 하드웨어와 소프트웨어의 상호작용을 이해하고, 간단한 임베디드 시스템을 설계·구현함으로써 문제 해결 능력과 창의적 사고를 기르는 데 중점을 둔다.
키워드: 아두이노(Arduino),피지컬 컴퓨팅,임베디드 시스템,C/C++ 기반 프로그래밍,변수,조건문,반복문제,함수(Function),센서(Sensor),액추에이터(Actuator),디지털/아날로그 입출력,시리얼 통신,회로 설계 기초,문제 해결 능력",국립목포대학교,박장현,beginner,2025년 1학기,http://www.kocw.net/home/cview.do?cid=607f5aaa31467d55&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1545032.jpg,http://www.kocw.net/home/common/contents/syllabus/1545032_202605131044942.pdf,video,8,
KOCW,77b5b8f2d825bc0b,공학,정보통신공학,AI 리터러시,"인공지능(AI)의 기본 개념부터, 4차산업혁명과 AI, 컴퓨터와의 관계, 생성형AI의 기본 개념과 활용법, 최신 생성형AI 툴을 사용한 실제 활용방법을 살펴보고, 이해한다.
키워드: 컴퓨터,생성형 AI,알고리즘,가상화,제미나이,구글",국립목포대학교,이연우,intermediate,2025년 1학기,http://www.kocw.net/home/cview.do?cid=77b5b8f2d825bc0b&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1544225.jpg,http://www.kocw.net/home/common/contents/syllabus/1544225_2026051293928467.pdf,video,12,
KOCW,83e4d2e2e90b28c9,공학,메카트로닉스공학,기계제도및실습,"본 강의는 기계설계를 위한 기초개념을 배우고 설계 결과를 도면으로 표현하는 기계제도의 원칙과 표준에 대해 학습한다. 상용CAD 소프트웨어(AutoCAD)를 사용하여 컴퓨터를 이용한 2차원 기계도면 작성기능을 갖추도록 한다.
키워드: 기계도면의 작성 원칙과 표시법의 이해,CAD/CAM/CAE 기술에 대한 이해,2차원 CAD Software의 활용법,CAD Software를 활용한 형상설계 실무능력 배양 (AutoCAD)",건국대학교,강현규,beginner,2025년 1학기,http://www.kocw.net/home/cview.do?cid=83e4d2e2e90b28c9&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1544085.jpg,http://www.kocw.net/home/common/contents/syllabus/1544085_20260511143215416.pdf,video,408,
KOCW,dc3da489762e213c,공학,컴퓨터공학,인공지능기초,"이 과목은 컴퓨터공학을 전공하는 학부 3학년 학생들을 대상으로 하며, 최신 인공지능 기술의 실용적 이해와 활용 능력 배양을 목표로 한다. 과목은 Responsible AI와 AI 보안 및 리스크 관리 같은 윤리적・사회적 쟁점을 다루면서, 동시에 ChatGPT 및 OpenAI API, LangChain, Pinecone, Hugging Face 등 다양한 인공지능 플랫폼과 도구를 실습 중심으로 학습한다. 또한, 임베딩과 벡터 데이터베이스, 프롬프트 엔지니어링, LLM 응용 시스템 개발, AI 비즈니스화 전략 등 인공지능 생태계 전반을 경험함으로써, 학생들이 실제 산업 현장에서 필요한 실무 능력과 창의적 문제 해결 역량을 기를 수 있도록 설계되었다
키워드: 인공지능의 사회적 책임과 윤리적 쟁점에 대한 이해,AI 시스템 보안 및 리스크 관리 역량 습득,OpenAI API 및 최신 LLM 도구 활용 능력 배양,ChatGPT 프롬프트 엔지니어링 기술 습득,임베딩과 벡터 검색 기술 이해 및 활용,AI 응용 시스템 기획 및 구현 경험,AI 기술의 비즈니스 적용과 수익화 전략 탐색",건국대학교,백우진,beginner,2025년 1학기,http://www.kocw.net/home/cview.do?cid=dc3da489762e213c&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1543948.jpg,http://www.kocw.net/home/common/contents/syllabus/1543948_2026051114318187.pdf,video,507,
KOCW,7c8983b3993474d7,공학,정보통신공학,컴퓨터네트워크,"컴퓨터네트워크가 작동하는 데 필요한 통신 규약(프로토콜)을 이해하고 특히 인터넷이 어떻게 작동하는지를 이해
키워드: 컴퓨터네트워크,인터넷,통신 프로토콜,ISO OSI 7계층 세계표준 프로토콜,TCP/IP 인터넷 프로토콜,선박통신망",국립한국해양대학교,손주영,unknown,2025년 2학기,http://www.kocw.net/home/cview.do?cid=7c8983b3993474d7&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1542144.jpg,http://www.kocw.net/home/common/contents/syllabus/1542144_20260318101029379.pdf,video,1790,
KOCW,f31f808fb2f647b3,공학,산업공학,기술개발과 R&D CEO,"AI, Big Data, Cloud, IoT, 5G등 4차 산업혁명의 혁신 기술을 활용, 사업화하고자 하는 예비 기술창업 기업들을 위한 비즈니스 모델과 단계적 창업과정을 학습하고 국내외 여러 혁신 기술 기업의 사례를 통해 스타트업 비즈니스 통찰을 체화한다
키워드: 기술창업,유니콘,혁신기술,AI,Innovation,Startup,기업가정신,Entrepreneurship",고려대학교,이종구,intermediate,2025년 2학기,http://www.kocw.net/home/cview.do?cid=f31f808fb2f647b3&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1541736.jpg,http://www.kocw.net/home/common/contents/syllabus/1541736_20260313131156292.pdf,video,784,
KOCW,61937b8ac6144a3e,공학,컴퓨터과학,전산수학1,"본 강좌에서는 컴퓨터과학을 구성하는 다수 이론들의 토대인 선형대수학(Linear Algebra)의 기념 개념에 대해 살펴본다. 역행렬, 대각화, 고윳값 분해 등의 의미와 예시들을 학습하는 것은 물론 기계학습 등의 분야에서 선형대수학의 주요 개념이 어떻게 활용되는지에 대해서도 살펴본다.
키워드: 전산수학,선형대수,행렬,벡터,벡터공간,선형변환,대각화,고윳값분해,특잇값분해,이차형식",고려대학교,유용재,intermediate,2025년 1학기,http://www.kocw.net/home/cview.do?cid=61937b8ac6144a3e&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1541662.jpg,http://www.kocw.net/home/common/contents/syllabus/1541662_20260309142524582.pdf,video,937,
KOCW,a26107d6ceaf3032,공학,신소재공학,빅데이터와이차전지진단,"빅데이터에 관한 이해와 데이터 수집, 연계통합, 저장, 관리, 분석, 시각화, 활용, 관리체계 등에 관한 전반적인 내용을 소개하며, 이차전지 산업에서 빅데이터 활용사례를 소개함.",충북대학교,"이준영,최상현,이정환,김태경,이채민,김성기,이용진,김홍근",intermediate,2026년 1학기,http://www.kocw.net/home/cview.do?cid=a26107d6ceaf3032&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1541102.jpg,http://www.kocw.net/home/common/contents/syllabus/1541102_2026030513565534.pdf,etc,916,
KOCW,c506594f05a3b027,공학,컴퓨터과학,"인공지능의 윤리, 거버넌스 및 사회적 영향","10주 동안 학생들은 기본적인 윤리 이론을 탐구하고, 실제 사례 연구를 분석하며, 새로운 규제 프레임워크를 평가하고, 대규모 AI 도입의 사회적 및 환경적 결과를 비판적으로 평가합니다. 독서, 토론, 시뮬레이션, 그리고 성찰적 글쓰기를 통해 참가자들은 진화하는 AI 환경에서 윤리적으로 사고하고, 책임감 있게 행동하며, 정직하게 선도하는 능력을 개발하게 됩니다.
키워드: 인공지능(AI); 윤리; AI 윤리; 책임 있는 AI; 윤리적 AI; AI 거버넌스; AI 정책; AI 규제; AI와 사회; 기술 윤리",우송대학교,Hasan Tinmaz,intermediate,2025년 1학기,http://www.kocw.net/home/cview.do?cid=c506594f05a3b027&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1539591.jpg,http://www.kocw.net/home/common/contents/syllabus/1539591_2026020410328316.pdf,video,994,
KOCW,b574bb71edc73433,공학,소프트웨어공학,Language-C,"Language-C Feature, Grammar, Usage, Practice
키워드: Language-C",동명대학교,한성화,unknown,2026년 1학기,http://www.kocw.net/home/cview.do?cid=b574bb71edc73433&ar=link_openapi,http://www.kocw.net/home/common/contents/thumbnail/07/t1539029.jpg,http://www.kocw.net/home/common/contents/syllabus/1539029_20260128144128294.pdf,document,771,
