source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,missing_removal_reason,quality_missing_ratio
280,2022,강원대학교,경영대학,관광경영학과,여행사빅데이터경영,3,2학기,3,3,0,전공선택,,PPT,,,,False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
397,2022,강원대학교,경영대학,회계학전공,회계와빅데이터,3,1학기,3,3,0,전공선택,기본적인 문제를 해결하기 위한 컴퓨터 프로그램을 작성해 봄으로써 컴퓨터 프로그램을 이용한 문제 해결능력을 습득하고 이를 회계전공지식을 바탕으로 한 회계자료처리 및 분석과정과 분석방법에 대해 응용해봄으로써 실질적인 지식을 함양한다.,추후공지,추후공지,추후공지,제한없음편집기 사용과 프로그래밍 경험은 도움이 됨,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.25
398,2022,강원대학교,경영대학,회계학전공,인공지능라이브러리,4,1학기,3,3,0,전공선택,Python을 이용하여 문제를 해결하는 사례 연습을 통하여 컴퓨터 프로그램 능력을 배양하고 회계분야에서 인공지능의 응용 문제를 생각해본다.,추후공지,추후공지,추후공지,회계와 빅데이터기본적인 편집기(editor) 사용,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_main_textbook,0.25
537,2022,강원대학교,경영대학,정보통계학전공,통계데이터마이닝및실습,3,1학기,3,2,2,전공선택,,"R, SAS, MSSQL을 활용한 데이터마이닝 (이정진 지음) 자유아카데미",,,기초통계학 및 통계패키지 R에 관한 기본 지식이 요구된다.,False,True,True,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.25
584,2022,강원대학교,농업생명과학대학,지역건설공학과,빅데이터수자원설계,3,2학기,3,2,2,전공선택,,"윤용남 저 “수문학 기초와 응용” 도서출판 청문각, 2012설계홍수량 산정요령(2012), 하천기본계획",,,수문학,False,True,True,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.25
779,2022,강원대학교,농업생명과학대학,에코환경과학전공,환경데이터분석및실습,2,1학기,3,2,2,전공선택,,온라인 강의 자료 및 실습자료,,"환경통계 및 데이터 분석(김준하, 이승원, 차성민 저, 한나래), 데이터 사이언스 개론(김화종 저, 홍릉과학출판사)",,False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.25
911,2022,강원대학교,동물생명과학대학,동물자원과학과,동물유전체데이터분석학,4,1학기,3,3,0,전공선택,,,,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective;missing_main_textbook,0.4166666666666667
1994,2022,강원대학교,산림환경과학대학,산림경영학전공,산림정보데이터마이닝,3,1학기,3,3,0,전공선택,,,,,,False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,missing_learning_objective;missing_main_textbook,0.4166666666666667
2133,2022,강원대학교,산림환경과학대학,종이소재과학전공,제지데이터분석,2,1학기,3,2,2,전공선택,,2020이공자ITQ엑셀2016,,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
2416,2022,강원대학교,의생명과학대학,의생명공학전공,바이오빅데이터개론,3,1학기,3,3,0,전공선택,,,,,,False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,missing_learning_objective;missing_main_textbook,0.4166666666666667
2603,2022,강원대학교,인문대학,영어영문학전공,인문학데이터마이닝,전학년,1학기,3,3,0,학문기초,,"빅데이터 분석과 R 활용, 윤철호 저, 생능출판사, 2021","모두를 위한 R 데이터 분석 입문, 오세종 저, 한빛아카데미, 2019",,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.25
3174,2022,강원대학교,자연과학대학,수학과,대수알고리즘,2,2학기,3,3,0,전공선택,,자체 교재,,,없음,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.25
3183,2022,강원대학교,자연과학대학,수학과,딥러닝과수학,4,1학기,3,3,0,전공선택,,Lecture notes and Web pages,1. Python Crash course by Eric Matthes. / 2. Byte of python by Swaroop,Deep learning with Python by Chollet,"Linear algebra, Calculus",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.08333333333333333
3187,2022,강원대학교,자연과학대학,수학과,데이터분석수학1,3,1학기,3,3,0,전공선택,,자체 교재,,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
3192,2022,강원대학교,자연과학대학,수학과,데이터분석수학2,3,2학기,3,3,0,전공선택,,Mathematical Foundations for Data Analysis by Jeff M.Phillips,,,,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,missing_learning_objective,0.3333333333333333
3335,2022,강원대학교,IT대학,전기전자공학과,컴퓨터프로그래밍,전학년,1학기,3,2,2,학문기초,,교재와 강의게시판은 추후공지,,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.3333333333333333
3336,2022,강원대학교,IT대학,전기전자공학과,컴퓨터프로그래밍,전학년,2학기,3,2,2,학문기초,문제에서 주어진 조건과 알고리즘을 분석하고 각 과정을 설계하여 전체의 문제의 해결능력 향상,,,,,True,True,False,False,False,True,target_department_and_target_course,missing_main_textbook,0.3333333333333333
3344,2022,강원대학교,IT대학,전기전자공학과,회로이론,1,2학기,3,3,0,전공선택,,회로이론; 박병국 외 3인 공역 (F.T. Ulaby 외 공저); 한빛아카데미,,,"1. 미분, 적분의 기초 지식2. 행렬식의 계산3. 연립방정식 풀이",True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
3347,2022,강원대학교,IT대학,전기전자공학과,논리회로,1,1학기,3,3,0,전공선택,,"제목: 처음 만나는 디지털논리회로, 출판사:한빛아카데미, 저자: 임석구, 홍경호",,,없음,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
3348,2022,강원대학교,IT대학,전기전자공학과,논리회로,1,1학기,3,3,0,전공선택,,"제목: 디지털논리회로(개정3판)출판사:한빛아카데미저자: 임석구, 홍경호",,,없음,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
3350,2022,강원대학교,IT대학,전기전자공학과,디지털회로실험,1,2학기,3,2,2,전공필수,,홈페이지자료,,,논리회로,True,True,True,False,False,True,target_department_and_target_course,missing_learning_objective,0.25
3357,2022,강원대학교,IT대학,전기전자공학과,컴퓨터구조,2,2학기,3,3,0,전공선택,,"컴퓨터구조및설계 6판 하드웨어/소프트웨어 인터페이스, 한티미디어 (David Patterson, John Hennessy, ""Computer Organization and Design,"" The Hardware/Software Interface)",,,"논리회로, C언어",True,True,False,True,False,True,target_department_and_target_course,missing_learning_objective,0.25
3359,2022,강원대학교,IT대학,전기전자공학과,컴퓨터구조,2,2학기,3,3,0,전공선택,,"David Patterson, John Hennessy, ""Computer Organization and Design"", The Hardware / Software Interface(한글판 : 컴퓨터 구조 및 설계, 한티미디어)",,,"논리회로, C 프로그래밍",True,True,False,True,False,True,target_department_and_target_course,missing_learning_objective,0.25
3360,2022,강원대학교,IT대학,전기전자공학과,신호및시스템,2,1학기,3,3,0,전공선택,,"주교재 : 이철희, 기초 신호 및 시스템, 한빛아카데미, 2016부교재 : 이철희, 핵심이 보이는 신호 및시스템, 한빛아카데미, 2015부교재 : M. J. Roberts, Fundamentals of Signals ans systems, McGraw Hill부교재 : G.E.Carlson, Signal and Linear System Analysis, 2판, Wiley부교재 : C.L.Phillips 외, Signal, Systems, and Transforms, Prentice Hall부교재 : E.W.Kamen, B.S.Heck, ""Fundamentals of Signals and Systems Using MatLab"", Prentice Hall, 1997부교재 : 신종홍, 신호 및 시스템의 이해, 한빛미디어, 2009",,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.3333333333333333
3361,2022,강원대학교,IT대학,전기전자공학과,신호및시스템,2,1학기,3,3,0,전공선택,,"기초 신호 및 시스템, 이철희, 한빛아카데미",,,,True,True,False,False,False,True,target_department_and_target_course,missing_learning_objective,0.3333333333333333
