source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,target_department_match,target_course_match,foundational_course_match,strong_ai_cs_course_match,excluded_department_match,final_target_keep,keep_reason,quality_missing_ratio
552,2022,강원대학교,경영대학,정보통계학전공,빅데이터자료분석및실습,4,2학기,3,2,2,전공선택,통계적 가설을 설정하고 그에 맞게 실제 자료를 수집하는 능력 배양,"임동훈, 빅데이터 분석 그것이 R고싶다","김영우, 쉽게배우는 R데이터분석","김경태, 빅데이터 활용서 I","기초통계학, 통계프로그래밍언어R 초급",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.0
881,2022,강원대학교,농업생명과학대학,바이오시스템기계공학전공,인공지능개론,2,1학기,3,3,0,전공선택,"인공지능 핵심 이론이라 할 수 있는 탐색과 최적화, 지식 표현과 추론, 기계학습, 딥러닝, 계획수립 에 대해서 다루며 인공지능의 주요 응용분야라고 할 수 있는 데이터 마이닝, 자연어 처리, 컴퓨터 비전, 지능 로봇에 대해서 배운다",인공지능: 튜링 테스트에서 딥러닝까지 (저자: 이건명; ISBN: 9788970509594),,,,False,True,False,True,True,True,strong_ai_cs_course_outside_target_department,0.25
923,2022,강원대학교,동물생명과학대학,동물산업융합학과,풀사료자원과빅데이터,2,2학기,3,3,0,전공선택,"축산중 풀사료 big data를 이용한 이론적 실제를 배우고, 통계학, IT, 풀사료, 토양 및 기후 전문가와 공동으로 수량예측 등을 하며 이에 필요한 각종 프로그램을 구성해 봄",자체 인쇄물(또는 동영상자료) 배부,인쇄물( 또는 동영상 자료)를 주교재와 함께 공급함,,"o 초지/풀사료생산 및 이용학. o 코딩 관련 지식,o 4차산업혁명과 관련 책자 및 지식",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.08333333333333333
971,2022,강원대학교,동물생명과학대학,동물응용과학과,인공지능과동물산업,4,2학기,3,3,0,전공선택,"동물생명산업에서 필요한 인공지능, IoT 기술 등을 어떻게 응용하여 구현할 수 있는지 기술적인 부분을 배운다.",개념 설명 그림/표/동영상 + 주요 내용 요약 자료 + 수업 요약형 퀴즈,"놀랍게 쉬운 인공지능의 이해와 실습 (출판사: 성안당, 저자: 한선관 등, 출판년도: 2021년) 수업시간에 활용하기 바람.",,"프로그래밍(코딩)을 직접 다루지 않으나, 코딩 예시를 보여줄 수 있음. 수업 중, 코딩 기초 지식은 없어도 됩니다.",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.08333333333333333
1913,2022,강원대학교,사회과학대학,정치외교학과,정치와데이터분석,2,2학기,3,3,0,전공선택,정치이론을 기반으로 연구가설을 설정하고 이를 양적분석을 통해 검증한다.,소정현. 2022. 『2022 사회조사분석사 2급 2차 실기 한권으로 끝내기』. 시대고시기획,이종익. 2022. 『2022 사회조사분석사 2급 필기 한권으로 끝내기』. 시대고시기획,"Angrist, Joshua D. 외. 『고수들의 계량경제학: 인간관계란 무엇인가』. 시그마프레스",<정치학연구방법>을 수강했거나 유권자의 정치행태를 통계적으로 분석하고 싶은 학생들을 대상으로 하는 수업입니다. 만약 <정치학연구방법>이나 이와 비슷한 방법론 과목을 수강 하지 않은 학생들이 있으면 23주차에 진행할 변수측정과 자료수집에 관한 보충수업을 수강해야 합니다.,False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.0
2604,2022,강원대학교,인문대학,영어영문학전공,인문학데이터마이닝,전학년,2학기,3,3,0,학문기초,데이터를 유형별로 구분하는 방법을 이해한다.프로그래밍을 통해 데이터를 분석하고 시각화 기술을 사용하여 효과적으로 표현한다.,"빅데이터 분석과 R 활용, 윤철호 저, 생능출판사, 2021","모두를 위한 R 데이터 분석 입문, 오세종 저, 한빛아카데미, 2019 / Do it! 쉽게 배우는 R 데이터 분석, 김영우 지음, 이지스퍼블리싱",수업 시간에 제시,"특별한 선수 과목과 지식은 없지만, 교양필수의 <컴퓨팅 사고력>이나 <파이썬 프로그래밍>을 수강하면 이해가 수월할 수 있음.",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.0
3193,2022,강원대학교,자연과학대학,수학과,알고리즘과수학,2,1학기,3,3,0,전공선택,문제를 해결하는 대표적인 앨거리듬 종류를 안다.,강의노트,"Foundations of Algorithms, Richard E. Neapolitan ( 이 책은 개강 후 무료로 얻을 수 있다)",,"특별한 선수 과목은 없고, 시중에 떠도는 퀴즈를 풀 때 필요한 지식이 있으면 좋다. 미분적분학이 필요하지는 않지만, 미분적분학을 공부할 수 있으면 충분하다.",False,True,False,True,False,True,strong_ai_cs_course_outside_target_department,0.08333333333333333
3338,2022,강원대학교,IT대학,전기전자공학과,컴퓨터프로그래밍,전학년,1학기,3,2,2,학문기초,주어진 문제를 해결할 수 있는 알고리즘을 설계하고 컴퓨터프로그래밍을 통해 구현한다.,"C언어 for beginner (개정4판), 우재남, 한빛아카데미",,,,True,True,False,False,False,True,target_department_and_target_course,0.25
3346,2022,강원대학교,IT대학,전기전자공학과,회로이론,1,2학기,3,3,0,전공선택,회로해석을 위한 수학적인 접근 방법 이해,회로이론; 박병국 외 3인 공역 (F.T. Ulaby 외 공저); 한빛아카데미,,,"1. 미분, 적분의 기초 지식2. 행렬식의 계산3. 미분방정식 풀이의 기본 개념",True,True,False,False,False,True,target_department_and_target_course,0.16666666666666666
3352,2022,강원대학교,IT대학,전기전자공학과,디지털회로실험,1,2학기,3,2,2,전공필수,"전기 전자 분야의 학생들이 기본적으로 필요한 디지털 회로에 대한 기본적인 사항을 실험 실습을 통하여 익히고, 설계 프로젝트를 통하여 응용 기술을 습득한다.","추후 공지, 이루리 사이트에 업로드 함",,,논리회로,True,True,True,False,False,True,target_department_and_target_course,0.16666666666666666
3354,2022,강원대학교,IT대학,전기전자공학과,전자회로,2,1학기,3,3,0,전공선택,1. 반도체 소자의 전기적 특성 이해2. 바이어스 회로의 역할과 소신호 증폭의 개념 이해,"Behzad Razavi, ""Fundamentals of Microelectronics"", Wiley",,"마이크로전자회로 (제2판), 한티미디어",회로 이론,True,True,False,False,False,True,target_department_and_target_course,0.08333333333333333
3355,2022,강원대학교,IT대학,전기전자공학과,전자회로,2,1학기,3,3,0,전공선택,1. 반도체 소자의 전기적 특성 이해2. 바이어스 회로의 역할과 소신호 증폭의 개념 이해,"마이크로전자회로; Razavi; 한티미디어, 2015",,"전자회로; 김동식; 생능출판사, 2015","회로이론 (node/mesh 해석, 중첩의 원리, Thevenin 정리, 1차 회로 해석 기법 등)",True,True,False,False,False,True,target_department_and_target_course,0.08333333333333333
3363,2022,강원대학교,IT대학,전기전자공학과,전자회로실험,2,2학기,3,2,2,전공필수,회로이론 및 전자회로 과목의 이론을 실험적으로 확인,"전기전자공학실험; 박종연, 박찬원 편저",,대학전자회로실험; 신인철 외 3인 공저; 청문각,"회로이론, 전자회로",True,True,True,False,False,True,target_department_and_target_course,0.08333333333333333
3365,2022,강원대학교,IT대학,전기전자공학과,전자회로실험,2,2학기,3,2,2,전공필수,회로이론 및 전자회로 과목의 이론을 실험적으로 확인하는 과정을 이해하고 실행,온라인 수업자료,기 수강한 전자회로 교재,,전자회로반도체소자의기본원리와 응용에 관한 지식,True,True,True,False,False,True,target_department_and_target_course,0.08333333333333333
