source_row_number,course_name,grade,semester,credit,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material
8557,기초디자인,1,2학기,3.0,전공,"기초디자인은 아래와 같은 세부 목표를 가지며, 교과과정을 통해 다양한 미디어 활용 능력과 형태 및 건축공간에 대해 이해하고 구성하는 능력을 배양한다.1. 디자인과 건축디자인의 의미에 대해 이해한다.2. 건축디자인과 관련한 주요 요소들을 이해한다. (색채, 빛, 물, 재료, 공간 등)3. 인간행위와 건축과의 관계를 이해한다. (공간지각과 경험)4. 디자인의 원리와 형태와 공간을 구성하는 법칙들을 이해한다.5. 근대건축과 현대건축의 공간조형 특성을 이해한다. (구축과 해제)6. 디자인속의 조형논리를 이해하고, 스스로 공간을 해석하고 구성할 줄 안다.","[주교재]: 11. 수업시간별 과제를 위한 자료 제공12. 동영상으로 배우는 라이노 7 모델링, 이진호, Nstar, 2021&lt;보조교재&gt;[컴퓨터 모델링]21. Be Architect part 2 :라이노& 그래스호퍼, 유기찬, 김재준, 조준상, 오주연, 한솔 아카데미, 2019[공간 지각과 경험]22. 건축과 감각, 유하니 팔라스마, spacetime, 2013 23. 건축의 경험, 헨리 플러머, 이유출판, 2018[재료, 구축]24. 건축설계 도면보는 법, 차상모, 임기택. 스페이스타임, 2016 25. 단면의 정석, LTL, 스페이스타임, 201726. Thinking through material, Uta Graff, 2018 [건축 주요 요소들의 이해] 27. 집을 철학하다, 에드윈 헤스코트, 아날로그, 2015 [형태, 공간, 조형]28. 건축의 형태공간 규범, 프랜시스 칭, 국제, 2016 [건축디자인, 건축가]29. Basics; Architectural design, Bert Bielefeld(ed), Birkhauser, 2014 210. 건축가의 언어 26, 안드레아 시미치 외, 집, 2017&lt;참고문헌&gt;[컴퓨터 모델링]31. 산업디자이너를 위한 Rhino3D 7.0 바이블, 최성권, 혜지원, 2021 [공간지각과 경험]32. 분위기, 페터 춤토르, 201633. 날씨의 맛, 알랭 코르뱅 외, 책세상, 201634. 음예예찬, 타니자키 주니치로, MGHbooks, 2018 [재료, 구축]35. Perfect Scale, Ansgar Shultz 외, 201636. Modern Constuction Handbook, Andrew Watts, 201837. 감 매거진 시리즈 19, 감씨편집팀, 감씨, 2017, 2018, 2019 [건축 주요 요소들의 이해] 38. 창을 이해하는 책, 나카야마 시게노부 외, MGHbooks, 2018 39. 계단을 이해하는 책, 나카야마 시게노부 외, 2013310. Elements, 렘콜하스, Marsilo, 2014311. 벽, 건축으로의 여행, 에블린 페레 크리스탱, 눌와, 2005 312. Architectural element series 13, 담디, 2018[형태, 공간, 조형]313. 공간의 시학과 무욕의 상상력, 박치완 외, Hune, 2017 314. Siteless; 1001 builidng form, Francois Blaciak, MIT press, 2008 315. Operative Design, 안토니 디 마리+유나라, pageone, 2012316. 파빌리온, 도시에 감정을 채우다. 송하엽, 홍시커뮤니케이션, 2015 317. 놀이가 아이를 바꾼다. 김민아 외, 시사일본어사, 2016[건축디자인, 건축가]318. 건축가가 되는 길, Roger Lewis, 도서출판 국제, 2008 319 디자인의 디자인, 하라켄야, 안그라픽스, 2017320. 건축강의 세트, 김광현, 안그라픽스, 2018321. Planning architecture / Planning landscape, Birkhauser, 2017",,,건축표현 및 제도
8558,기초디자인,1,2학기,3.0,전공,"기초디자인은 아래와 같은 세부 목표를 가지며, 교과과정을 통해 다양한 미디어 활용 능력과 형태 및 건축공간에 대해 이해하고 구성하는 능력을 배양한다.1. 디자인과 건축디자인의 의미에 대해 이해한다.2. 건축디자인과 관련한 주요 요소들을 이해한다. (색채, 빛, 물, 재료, 공간 등)3. 인간행위와 건축과의 관계를 이해한다. (공간지각과 경험)4. 디자인의 원리와 형태와 공간을 구성하는 법칙들을 이해한다.5. 근대건축과 현대건축의 공간조형 특성을 이해한다. (구축과 해제)6. 디자인속의 조형논리를 이해하고, 스스로 공간을 해석하고 구성할 줄 안다.","[주교재]: 11. 수업시간별 과제를 위한 자료 제공12. 스케치업 With VRay Standard, 황두환, 시대인, 2020 [참고문헌][공간지각과 경험]11. 건축과 감각, 유하니 팔라스마, spacetime, 2013 12. 건축의 경험, 헨리 플러머, 이유출판, 201813. 분위기, 페터 춤토르, 201614. 날씨의 맛, 알랭 코르뱅 외, 책세상, 201615. 건축디자인과 인간행태, 정무웅외 4인, 기문당, 200916. 음예예찬, 타니자키 주니치로, MGHbooks, 2018[참고문헌][재료, 구축]21. 건축설계 도면보는 법, 차상모, 임기택. 스페이스타임, 201622. 단면의 정석, LTL, 스페이스타임, 201723. Perfect Scale, Ansgar Shultz 외, 201624. Modern Constuction Handbook, Andrew Watts, 201825. 감 매거진 시리즈 19, 감씨편집팀, 감씨, 2017, 2018, 201926. Thinking through material, Uta Graff, 2018[참고문헌][건축 주요 요소들의 이해] 31. 창을 이해하는 책, 나카야마 시게노부 외, MGHbooks, 201832. 계단을 이해하는 책, 나카야마 시게노부 외, 201333. Elements, 렘콜하스, Marsilo, 201434. 벽, 건축으로의 여행, 에블린 페레 크리스탱, 눌와, 200535. 빛과 색의 환경디자인, 일본건축학회, 성안당, 201036. 집을 철학하다, 에드윈 헤스코트, 아날로그,201537. Architectural element series 13, 담디, 201838. Staging urban landscapes, Cannon B. Ivers, 2018[참고문헌][형태, 공간, 조형]41. 건축의 형태공간 규범, 프랜시스 칭, 국제, 201642. 공간의 시학과 무욕의 상상력, 박치완 외, Hune, 2017 43. Siteless; 1001 builidng form, Francois Blaciak, MIT press, 200844. Operative Design, 안토니 디 마리+유나라, pageone, 201245. 파빌리온, 도시에 감정을 채우다. 송하엽, 홍시커뮤니케이션, 201546. 놀이가 아이를 바꾼다. 김민아 외, 시사일본어사, 2016[참고문헌][건축디자인, 건축가]51. 건축가가 되는 길, Roger Lewis, 도서출판 국제, 200852. 디자인의 디자인, 하라켄야, 안그라픽스, 201753. Basics; Architectural design, Bert Bielefeld(ed), Birkhauser, 201454. 건축시학, 안토니 안토니아데스저, 김경준역, 1994.(절판)55. 건축가의 언어 26, 안드레아 시미치 외, 집, 201756. 건축강의 세트, 김광현, 안그라픽스, 201857. Planning architecture / Planning landscape, Birkhauser, 2017",,,건축표현 및 제도
8559,기초디자인,1,2학기,3.0,전공,"기초디자인은 아래와 같은 세부 목표를 가지며, 교과과정을 통해 다양한 미디어 활용 능력과 형태 및 건축공간에 대해 이해하고 구성하는 능력을 배양한다.1. 디자인과 건축디자인의 의미에 대해 이해한다.2. 건축디자인과 관련한 주요 요소들을 이해한다. (색채, 빛, 물, 재료, 공간 등)3. 인간행위와 건축과의 관계를 이해한다. (공간지각과 경험)4. 디자인의 원리와 형태와 공간을 구성하는 법칙들을 이해한다.5. 근대건축과 현대건축의 공간조형 특성을 이해한다. (구축과 해제)6. 디자인속의 조형논리를 이해하고, 스스로 공간을 해석하고 구성할 줄 안다.","[주교재]: 11. 수업시간별 과제를 위한 자료 제공12. 스케치업 With VRay Standard, 황두환, 시대인, 2020 [참고문헌][공간지각과 경험]11. 건축과 감각, 유하니 팔라스마, spacetime, 2013 12. 건축의 경험, 헨리 플러머, 이유출판, 201813. 분위기, 페터 춤토르, 201614. 날씨의 맛, 알랭 코르뱅 외, 책세상, 201615. 건축디자인과 인간행태, 정무웅외 4인, 기문당, 200916. 음예예찬, 타니자키 주니치로, MGHbooks, 2018[참고문헌][재료, 구축]21. 건축설계 도면보는 법, 차상모, 임기택. 스페이스타임, 201622. 단면의 정석, LTL, 스페이스타임, 201723. Perfect Scale, Ansgar Shultz 외, 201624. Modern Constuction Handbook, Andrew Watts, 201825. 감 매거진 시리즈 19, 감씨편집팀, 감씨, 2017, 2018, 201926. Thinking through material, Uta Graff, 2018[참고문헌][건축 주요 요소들의 이해] 31. 창을 이해하는 책, 나카야마 시게노부 외, MGHbooks, 201832. 계단을 이해하는 책, 나카야마 시게노부 외, 201333. Elements, 렘콜하스, Marsilo, 201434. 벽, 건축으로의 여행, 에블린 페레 크리스탱, 눌와, 200535. 빛과 색의 환경디자인, 일본건축학회, 성안당, 201036. 집을 철학하다, 에드윈 헤스코트, 아날로그,201537. Architectural element series 13, 담디, 201838. Staging urban landscapes, Cannon B. Ivers, 2018[참고문헌][형태, 공간, 조형]41. 건축의 형태공간 규범, 프랜시스 칭, 국제, 201642. 공간의 시학과 무욕의 상상력, 박치완 외, Hune, 2017 43. Siteless; 1001 builidng form, Francois Blaciak, MIT press, 200844. Operative Design, 안토니 디 마리+유나라, pageone, 201245. 파빌리온, 도시에 감정을 채우다. 송하엽, 홍시커뮤니케이션, 201546. 놀이가 아이를 바꾼다. 김민아 외, 시사일본어사, 2016[참고문헌][건축디자인, 건축가]51. 건축가가 되는 길, Roger Lewis, 도서출판 국제, 200852. 디자인의 디자인, 하라켄야, 안그라픽스, 201753. Basics; Architectural design, Bert Bielefeld(ed), Birkhauser, 201454. 건축시학, 안토니 안토니아데스저, 김경준역, 1994.(절판)55. 건축가의 언어 26, 안드레아 시미치 외, 집, 201756. 건축강의 세트, 김광현, 안그라픽스, 201857. Planning architecture / Planning landscape, Birkhauser, 2017",,,건축표현 및 제도
8560,기초디자인,1,2학기,3.0,전공,"기초디자인은 아래와 같은 세부 목표를 가지며, 교과과정을 통해 다양한 미디어 활용 능력과 형태 및 건축공간에 대해 이해하고 구성하는 능력을 배양한다.1. 디자인과 건축디자인의 의미에 대해 이해한다.2. 건축디자인과 관련한 주요 요소들을 이해한다. (색채, 빛, 물, 재료, 공간 등)3. 인간행위와 건축과의 관계를 이해한다. (공간지각과 경험)4. 디자인의 원리와 형태와 공간을 구성하는 법칙들을 이해한다.5. 근대건축과 현대건축의 공간조형 특성을 이해한다. (구축과 해제)6. 디자인속의 조형논리를 이해하고, 스스로 공간을 해석하고 구성할 줄 안다.","[주교재]: 11. 수업시간별 과제를 위한 자료 제공12. 스케치업 With VRay Standard, 황두환, 시대인, 2020 [참고문헌][공간지각과 경험]11. 건축과 감각, 유하니 팔라스마, spacetime, 2013 12. 건축의 경험, 헨리 플러머, 이유출판, 201813. 분위기, 페터 춤토르, 201614. 날씨의 맛, 알랭 코르뱅 외, 책세상, 201615. 건축디자인과 인간행태, 정무웅외 4인, 기문당, 200916. 음예예찬, 타니자키 주니치로, MGHbooks, 2018[참고문헌][재료, 구축]21. 건축설계 도면보는 법, 차상모, 임기택. 스페이스타임, 201622. 단면의 정석, LTL, 스페이스타임, 201723. Perfect Scale, Ansgar Shultz 외, 201624. Modern Constuction Handbook, Andrew Watts, 201825. 감 매거진 시리즈 19, 감씨편집팀, 감씨, 2017, 2018, 201926. Thinking through material, Uta Graff, 2018[참고문헌][건축 주요 요소들의 이해] 31. 창을 이해하는 책, 나카야마 시게노부 외, MGHbooks, 201832. 계단을 이해하는 책, 나카야마 시게노부 외, 201333. Elements, 렘콜하스, Marsilo, 201434. 벽, 건축으로의 여행, 에블린 페레 크리스탱, 눌와, 200535. 빛과 색의 환경디자인, 일본건축학회, 성안당, 201036. 집을 철학하다, 에드윈 헤스코트, 아날로그,201537. Architectural element series 13, 담디, 201838. Staging urban landscapes, Cannon B. Ivers, 2018[참고문헌][형태, 공간, 조형]41. 건축의 형태공간 규범, 프랜시스 칭, 국제, 201642. 공간의 시학과 무욕의 상상력, 박치완 외, Hune, 2017 43. Siteless; 1001 builidng form, Francois Blaciak, MIT press, 200844. Operative Design, 안토니 디 마리+유나라, pageone, 201245. 파빌리온, 도시에 감정을 채우다. 송하엽, 홍시커뮤니케이션, 201546. 놀이가 아이를 바꾼다. 김민아 외, 시사일본어사, 2016[참고문헌][건축디자인, 건축가]51. 건축가가 되는 길, Roger Lewis, 도서출판 국제, 200852. 디자인의 디자인, 하라켄야, 안그라픽스, 201753. Basics; Architectural design, Bert Bielefeld(ed), Birkhauser, 201454. 건축시학, 안토니 안토니아데스저, 김경준역, 1994.(절판)55. 건축가의 언어 26, 안드레아 시미치 외, 집, 201756. 건축강의 세트, 김광현, 안그라픽스, 201857. Planning architecture / Planning landscape, Birkhauser, 2017",,,건축표현 및 제도
8561,건축학개론,1,2학기,3.0,전공,건축 입문에 관한 기본 지식을 습득하여 전공심화과정으로 들어가기 위한 기본과정으로 수강자는 건축의 전문용어와 디자인 과정에 대한 지식을 함양하고   여기서 터득한 내용을 토대로 자신의 건축관 을 정립하는데 기반을 마련할 수 있음,"교재 : 건축계획론 the theory of architectural project, 안영배 외 4인, 서울 기문당참고자료 : 건축학 개론(Introduction to Architecture), James C. Synder and Antony J. Catanese, 번역 : 윤일주 외 9인, 서울 기문당,2019Nathan B, Winters/ 이철원 김문덕 역, 디자인 개념의 이해(Architecture IS ELEMENTARY), 1989(절판, 도서관이용) 청목의차 외/권기찬 외 역, 그림으로 배우는 건축설계요점, 보문당, 2004마스다 스스무/김준균 역, 주거해부도감, 더숲, 2009Barrierfree 주거 매뉴얼, 한국장애인개발원   발행, 서울 : 한국장애인개발원, 2011 Architectural Review 잡지(~ 2019), Architectural Record 잡지 (~ 2019)개인의 공간(원서명: Personal space), Robert Sommer/이경회 외 역, 기문당, 1991 (절판, 도서관이용)건축학 개론(Introduction to Architecture), The McGinty/정영수역, 세진사, 2000  재미있는 건축이야기(Achitecture For Beginners), Louis Hellman/임종엽역, 도서출판국제, 1996 The SPACE in architecture ; the Evolution of a New Idea in the Theory and History of the Modern Movement/건축의 공간개념, Cornelis Van de Ven/고성룡 역, 도서출판 씨아이알, 2001 건축디자인 이야기, 유희준 저,  문운당. 2002 건축 환경행동의 이해,서붕교외 2인 편저, 기문당, 2007 Barrier Free Design For the disabled, 박용환 외 3명. 기문당, 2008현대건축의 새로운 흐름 공간의 형식과 유기성,서울 : 기문당, 2012, 외 다수",,,건축문화
8562,건축문화와 공간,1,1학기,3.0,전공,<교과목 목적>건축학 전공에 입문하는 1학년 학생들에게 건축이론의 기초적 지식을 제공하여 향후 전공교과를 수행하는 기반이 되도록 한다. 건축문화의 형성의 배경이 되는 다양한 지식을 이해하여 앞으로 건축설계 관련 교과 수행시 충분히 활용하고자 한다.  <적용 SPC>03. 건축과 과학기술 및 예술 : 건축과 과학기술 및 예술의 관계를 이해한다.04. 세계 건축사와 전통 : 세계의 건축역사와 전통의 다양성을 이해한다.05. 한국 건축사와 전통 : 우리나라 건축의 고유한 사상과 문화적 전통을 이해한다.,"<주교재>1. 한중일의 미의식, 지상현 저, 아트북스2. 한중일 건축, 김동욱 저, 김영사3. 건축학개론, 이범재,배시화 저, 기문당<보조교재>. 미학에세이, 유흥준 역, 청년사2. 문화, 문화란 무엇인가, 이대희 저, e 피플3. 예술에 대한 여덟가지 답변의 역사, 김진엽저 , 우리학교4. 교양으로 읽은 세계종교, 류상태 저, 인물과 사상사5 처음 읽는 서양철학사, 안광복 저, 어크로스6. 과학사, 김영식 외 저, 전파과학사7. 한국건축의 정세청, 이상헌 저, 미메시스",,,
8563,건축과 테크놀로지,2,1학기,3.0,전공,"본과목은건축의본질과테크놀로지의융합을위한기초이론과목으로써아래의내용을목표로한다.1.기술의발전이건축에미친영향을건축가의가치관과건축설계의변화를통해이해할수있다.2.건축가의경험및직관적이고예술적역량의산물인건축설계의변화과정에과학기술과컴퓨터가어떠한변화를가져왔는지이해할수있다.3.다양한사례를바탕으로건축테크놀로지의현상황을파악하고,미래의건축산업에서필요로하는기술에대하여다양하게추론할수있다.","1. 김성아, 인공지능 시대의 건축, 씨아이알2. 신문기,테크놀로지와건축미학,발언3. 관련 논문 다수",,,없음
8564,건축구법 및 재료,1,2학기,3.0,전공,"본 강의는 역학적인 내용에 있어서도 가능한 기본적이고 법적인 것만 언급하고 될수 있는대로 외형적이고 의장적인 내용들을 위주로 디자인이나 설계계획에 가까운 부분을 강의하며, 아울러 공법적인 측면을 부수적으로 디자인과 접목하여 강의를 함으로써 3,4학년에 배울 과목들의 기초적인 수업이 되도록 하는데 그 목적을 두고 있다.","『건축구법』, 기문당, 최민권『건축재료』, 문운당, 최민권『건축, 공간, 구조 이야기』, 기문당, 박찬수 외 역",,,없음
8565,디지털건축디자인,3,2학기,3.0,전공,1. 스마트건설 환경에 대한 이해와 각 접목 기술에 대한 교육을 실시한다.2. 디지털 건축디자인 디자인 생성 기술에 대한 개념을 설명할 수 있다.3. 디지털건축디자인 프로세스 과정에서 생산/교환/응용하는 파일교환 실무교육을 실시한다.4. BIM 기반 디자인 생성 교육을 실시하고 모델링 능력을 배양할 수 있다.,,,,없음.
8566,디지털건축디자인,3,2학기,3.0,전공,1. 스마트건설 환경에 대한 이해와 각 접목 기술에 대한 교육을 실시한다.2. 디지털 건축디자인 디자인 생성 기술에 대한 개념을 설명할 수 있다.3. 디지털건축디자인 프로세스 과정에서 생산/교환/응용하는 파일교환 실무교육을 실시한다.4. BIM 기반 디자인 생성 교육을 실시하고 모델링 능력을 배양할 수 있다.,,,,없음.
