source_row_number,course_name,grade,semester,credit,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material,is_target_department,is_target_course
8508,건축전기및조명,3,2학기,3.0,공학전공,건축물 내의 전기 및 조명설비에 대한 이해를 바탕으로 설비 도입계획을 설계 할 수 있다.,"참고문헌1. 최신전기설비설계_강동귀, 이경섭, 이상헌, 이종필, 최용성_문운당_20102. 건축전기설비_김영문,남징락 외 4명_북스힐_20093. 건축전기설비_김진수_기문당_20144. 건축전기설비 기술사_이종혁_세한출판사_20175. LED조명 광학설계 이론 및 활용 1,2_황명근, 안수호, 반기현, 백승욱_아진_20106. 조명 디자인 입문_국제조명위원회 한국위원회_2009",,,"건축환경개론, 건축설비",False,True
8554,확률및통계,1,2학기,3.0,전공,"Identify the types of data (qualitative, quantitative, discrete, and continuous). Identify the types of sampling (random, stratified, systematic, cluster). Identify the misuses of statistics. Student will use appropriate statistical methods to collect, organize, display, and analyze relevant data.",,,,,False,True
8556,수치해석,3,1학기,3.0,전공기반,건축에서 발생하는 수학적 문제를 컴퓨터를 이용하여 해결하는 방법을 배운다.,"주교재: MATLAB을 이용한 EASY 수치해석, 구영필 저, 홍릉과학출판사부교재: 이공학도를 위한 수치해석, 백태현 외 2명 역, 학산미디어",,,"공업수학 1, 공업수학 2",False,True
8689,확률및통계,2,2학기,3.0,전공기반,강의 교제는 통계학과 관련된 기본이론 뿐만아니라 다양한 이공계통의 예제를 포함하고 있어 강의를 통해서 통계학적 기본지식을 습득하고자 함. 또한 이러한 지식을 바탕으로 사용하게될 자료를 분석하고 정량적으로 판단할 수 있는 능력을 키움,"교재 : 이공계를 위한 확률 및 통계 2판(저자 : 김성준 외 4인, 출판사 : 자유아카데미, 2021)참고문헌 : 수리통계학(5판) 송성주, 전명식|자유아카데미 |2020",,,수학 I,False,True
8690,확률및통계,1,2학기,3.0,전공기반,강의 교제는 통계학과 관련된 기본이론 뿐만아니라 다양한 이공계통의 예제를 포함하고 있어 강의를 통해서 통계학적 기본지식을 습득하고자 함. 또한 이러한 지식을 바탕으로 사용하게될 자료를 분석하고 정량적으로 판단할 수 있는 능력을 키움,"교재 : 이공계를 위한 확률 및 통계 2판(저자 : 김성준 외 4인, 출판사 : 자유아카데미, 2021)참고문헌 : 수리통계학(5판) 송성주, 전명식|자유아카데미 |2020",,,수학 I,False,True
8691,선형대수학,1,1학기,3.0,전공기반,선형대수의 기초 개념 이해와 수학적인 문제해결 능력을 배양,"Linear Algebra with Applications, Steven J. Leon, Pearson Prentice Hall.",,,없음,False,True
8692,선형대수학,1,1학기,3.0,전공기반,Enhancement of understanding for basic concepts of linear algebra and the ability to solve mathematical problems,"Linear Algebra with Applications, Steven J. Leon, Pearson Prentice Hall.",,,없음,False,True
8706,응용전산프로그래밍 및 실습,1,1학기,3.0,전공기반,"1. 포트란의 선언구조(문), 선택구조(문), 순환구조(문), 제어문, 입축력문 등의 이해2. 프로그래밍 실습을 통한 코딩능력 배양3. 파이썬의 표현식, 조건문, 함수, 반복문 등의 이해","교재: 임성순, 포트란 이론과 실습, pp. 447, 구미서관, 2016.참고문헌: 전시영, Fortran 77, pp. 618, 동화기술, 2016.참고자료: 1. 교육용 트러스 및 프레임 구조해석 프로그램              2. edwith.org의 동영상 ª모두를 위한 프로그래밍: 파이썬ª",,,없음,False,True
8707,응용전산프로그래밍 및 실습,1,1학기,3.0,전공기반,"1. 포트란의 선언구조(문), 선택구조(문), 순환구조(문), 제어문, 입축력문 등의 이해2. 프로그래밍 실습을 통한 코딩능력 배양3. 파이썬의 표현식, 조건문, 함수, 반복문 등의 이해","교재: 임성순, 포트란 이론과 실습, pp. 447, 구미서관, 2016.참고문헌: 전시영, Fortran 77, pp. 618, 동화기술, 2016.참고자료: 1. 교육용 트러스 및 프레임 구조해석 프로그램              2. edwith.org의 동영상 ª모두를 위한 프로그래밍: 파이썬ª",,,없음,False,True
8708,응용전산프로그래밍 및 실습,2,1학기,3.0,전공기반,"1. 포트란의 선언구조(문), 선택구조(문), 순환구조(문), 제어문, 입축력문 등의 이해2. 프로그래밍 실습을 통한 코딩능력 배양3. 파이썬의 표현식, 조건문, 함수, 반복문 등의 이해","교재: 임성순, 포트란 이론과 실습, pp. 447, 구미서관, 2016.참고문헌: 전시영, Fortran 77, pp. 618, 동화기술, 2016.참고자료: 1. 교육용 트러스 및 프레임 구조해석 프로그램              2. edwith.org의 동영상 ª모두를 위한 프로그래밍: 파이썬ª",,,없음,False,True
8709,응용전산프로그래밍 및 실습,2,1학기,3.0,전공기반,"1. 포트란의 선언구조(문), 선택구조(문), 순환구조(문), 제어문, 입축력문 등의 이해2. 프로그래밍 실습을 통한 코딩능력 배양3. 파이썬의 표현식, 조건문, 함수, 반복문 등의 이해","교재: 임성순, 포트란 이론과 실습, pp. 447, 구미서관, 2016.참고문헌: 전시영, Fortran 77, pp. 618, 동화기술, 2016.참고자료: 1. 교육용 트러스 및 프레임 구조해석 프로그램              2. edwith.org의 동영상 ª모두를 위한 프로그래밍: 파이썬ª",,,없음,False,True
8719,응용수치해석 및 실습,2,2학기,3.0,전공기반,understanding and solving mathematical and engineering problems using numerical methods,"Numerical Methods for Engineers, Steven C. Chapra & Raymond P. Canale, 8th Edition, McGrawHill EducationOptional: 공학도를 위한 수치해석, Chapra & Canale 저, 신동신, 나양, 이승배, 임윤철 역, McGrawHill Korea",,,Fortran Programming,False,True
8720,응용수치해석 및 실습,2,2학기,3.0,전공기반,understanding and solving mathematical and engineering problems using numerical methods,"Numerical Methods for Engineers, Steven C. Chapra & Raymond P. Canale, 8th Edition, McGrawHill EducationOptional: 공학도를 위한 수치해석, Chapra & Canale 저, 신동신, 나양, 이승배, 임윤철 역, McGrawHill Korea",,,Fortran Programming,False,True
8721,응용수치해석 및 실습,2,2학기,3.0,전공기반,understanding and solving mathematical and engineering problems using numerical methods,"Numerical Methods for Engineers, Steven C. Chapra & Raymond P. Canale, 8th Edition, McGrawHill EducationOptional: 공학도를 위한 수치해석, Chapra & Canale 저, 신동신, 나양, 이승배, 임윤철 역, McGrawHill Korea",,,Fortran Programming,False,True
8722,응용수치해석 및 실습,2,2학기,3.0,전공기반,understanding and solving mathematical and engineering problems using numerical methods,"Numerical Methods for Engineers, Steven C. Chapra & Raymond P. Canale, 8th Edition, McGrawHill EducationOptional: 공학도를 위한 수치해석, Chapra & Canale 저, 신동신, 나양, 이승배, 임윤철 역, McGrawHill Korea",,,Fortran Programming,False,True
8752,C/C++프로그래밍기초,2,2학기,3.0,전공기반,주어진 문제를 컴퓨팅처럼 분석하고 알고리즘을 설계함으로써 자신만의 논리로 해결할 수 있는 능력을 갖추어 자신의 전공분야 뿐만 학문 영역의 경계를 넘어 통합적 사고력과 응용력을 향상한다.다양한 실습예제를 통해 문제의 요구사항을 찾아 분석하고 해결 과정을 구성하여 컴퓨터 언어로 표현해 가는 과정에서 자연스럽게 창의력과 논리적 사고력이 형성되도록 한다.* 강의 운영 방식은 대학교의 코로나19 대응 수업 운영 지침에 따름(개강전 LMS 공지 사항 참고),"[교재] C 프로그래밍 기초, 박보석 외 4인 공저, 경북대학교출판부, 2016년 12월 ※ 교재 복사본은 수업 때 가져올 수 없음[참고문헌]C프로그래밍 새내기를 위한 첫 C언어, 한빛미디어, 박보석 외 4인 공저",,,없음,False,True
8754,C/C++프로그래밍기초,2,2학기,3.0,전공기반,"다양한 컴퓨터 프로그래밍을 통한 연구나 응용이 일반화되어 있으며, 컴퓨터 관련이 아닌 대부분의 학문 분야에서 컴퓨터 프로그래밍을 통해 정보를 획득하고 다양한 실험과 연구를 통한 성과를 얻고 있다.  컴퓨터 관련 전공자가 아니더라도 이 교과목을 통해 기초적인 데이터 처리와 분석 프로그래밍 능력을 갖춤으로써 향후 각자의 전공 영역에 통합하여 응용할 수 있게 한다.","【 교 재 】 C 프로그래밍 기초, 하숙정 외 4인 공저, 경북대학교출판부, 2016년 12월【 주 의 】 교재의 복사본은 수업 때 가져올 수 없음【참고문헌】 C 프로그래밍, 하숙정 외 4인 공저, 한빛아카데미                   쉽게 풀어쓴 C언어 Express, 천인국저, 생능                   비기전수 C프로그래밍, 윤성우저, 인피니티북스 등윤성우저, 인피니티북스 등",,,없음,False,True
8847,전기전자공학기초,2,1학기,3.0,공학전공,전기 및 전자 공학 기초 내용 이해.,"[Reference] (필수) 이규철, 이춘영, 박경석, 양순용, 공학도를 위한 전기전자공학 카오스 출판사, 2014(선택) Electrical EngineeringPrinciples and Applications, 5th Ed. Allan R. Hambley, PearsonPrentice Hall, 2011(선택) DC/AC Fundamentals A Systems Approach, T. L. Floyd, D. M. Buchla, Pearson, 2013(선택) Analog Fundamentals A Systems Approach, T. L. Floyd, D. M. Buchla, Pearson, 2013",,,없음,False,True
8852,기초전기전자실험,2,2학기,3.0,공학전공,To enhance mechanical engineering application ability based on experience in electronics circuit design and measurement techniques.,Textbook:Mechanical Engineerin Experiment (Edited by School of Mechanical Engineering),,,,False,True
8853,기초전기전자실험,2,2학기,3.0,공학전공,기초전기전자 실험을 통한 전기전자 기초지식 배양 및 실무 지식 배양,Textbook:Mechanical Engineerin Experiment 1 (Edited by School of Mechanical Engineering)  (A 분반과 동일),,,없음,False,True
8882,시스템제어,3,2학기,3.0,공학전공,Understanding a variety of controllers in mechanical system,"Tetbook : Control Systems Engineeringª, Norman S. NiseReference : any book on Feedback Control System",,,"Engineering mathematics, dynamic system",False,True
8883,시스템제어,3,2학기,3.0,공학전공,Understanding a variety of controllers in mechanical system,"Tetbook : Control Systems Engineeringª, Norman S. NiseReference : any book on Feedback Control System",,,"Engineering mathematics, dynamic system",False,True
8884,시스템제어,3,2학기,3.0,공학전공,창의적인 접근 방법을 제안함.융합적인 해결 방법을 유도함.사회적 공동체에 대한 배려심을 강조함.안전한 기계 시스템을 추구함.사회적 구성원인 공학도로서 책임과 의무를 자각하게 함.,추후 공고,,,"수학, 동역학",False,True
8887,마이크로컨트롤러,3,1학기,3.0,공학전공,마이크로 컨트롤러 기본 개념 및 응용 능력 배양,Lecture note will be offered in class,,,,False,True
8888,마이크로컨트롤러,3,1학기,3.0,공학전공,This lecture is covered for how to use microprocesser which is very inportant compenent in embedded sytem.,Lecture note will be offered in class,,,,False,True
8895,수치해석,3,1학기,3.0,전공기반,수학적인 답을 구하기 어려운 공학문제에 대해서 근사적인 해를 구하는 능력을 배양하게 함,"교재: Kendall Atkinson and Weimin Han ªElementary Numerical Analysisª 3rd ed. John Wiley & Sons, Inc.참고문헌: Steven C. Chapra and Raymond P. Canale ªNumerical Methods for Engineersª 5th ed. McGrawHillMATLAB / Python 기초 내용이 수업진도에 포함될 경우 Advanced topics 관련 강의 내용은 생략될 수 있음",,,공학수학,False,True
8896,수치해석,3,1학기,3.0,전공기반,수학적인 답을 구하기 어려운 공학문제에 대해서 근사적인 해를 구하는 능력을 배양하게 함,"교재: Kendall Atkinson and Weimin Han ªElementary Numerical Analysisª 3rd ed. John Wiley & Sons, Inc.참고문헌: Steven C. Chapra and Raymond P. Canale ªNumerical Methods for Engineersª 5th ed. McGrawHillMATLAB / Python 기초 내용이 수업진도에 포함될 경우 Advanced topics 관련 강의 내용은 생략될 수 있음",,,공학수학,False,True
8910,제어시스템설계,4,1학기,3.0,공학전공,융합 : 다양한 역학적 상황을 공학 프로그램으로 해석함.책임 : 사회적 구성원인 공학도로서 책임과 의무를 자각하게 함.,추후 공고,,,프로그래밍,False,True
8913,로봇시스템,4,2학기,3.0,공학전공,창의적인 접근 방법을 제안함.융합적인 해결 방법을 유도함.사회적 공동체에 대한 배려심을 강조함.안전한 기계 시스템을 추구함.사회적 구성원인 공학도로서 책임과 의무를 자각하게 함.,추후 공고,,,"수학, 동역학",False,True
8922,공학응용인공지능,4,1학기,3.0,공학전공,"The aim of this course is to be familiar with basic artificial intelligence techniques, especially machine learning, which are now popular as an alternative of traditional deterministic modeling. The machine learning covers supervised, unsupervised learning and more.","Main textbook: Introduction to Machine Learning 4th Ed., Alpaydin EthemReferences: 1. Introduction to Machine Learning with Python, OªReilly, 안드레아스 뮐러, 세라 가이도2. Deep Learning from Scratch, OªReilly, 사이토 고키3. Machine Learning in Python, Bowles4. Other materials from website",,,C++ programming,False,True
8923,공학응용인공지능,4,1학기,3.0,공학전공,"The aim of this course is to be familiar with basic artificial intelligence techniques, especially machine learning, which are now popular as an alternative of traditional deterministic modeling. The machine learning covers supervised, unsupervised learning and more.","Main textbook: Introduction to Machine Learning 4th Ed., Alpaydin EthemReferences: 1. Introduction to Machine Learning with Python, OªReilly, 안드레아스 뮐러, 세라 가이도2. Deep Learning from Scratch, OªReilly, 사이토 고키3. Machine Learning in Python, Bowles4. Other materials from website",,,C++ programming,False,True
8924,공학응용인공지능,4,1학기,3.0,공학전공,"This lecture aims to understand the basic principle of the undergraduatelevel reinforcement learning, including the applications with the hands on coding.","Reinforcement Learning: An Introduction (Adaptive Computation and Machine Learning) (Adaptive Computation and Machine Learning series), Richard S. SuttonReinforcement Learning Toolbox Matlab",,,System Control,False,True
8925,공학응용인공지능,4,1학기,3.0,공학전공,"본 강의에서는 학부레벨에서 학습가능한 인공지능, 강화학습 기초에 대한 이해 및 실습을 통한 코드 구현을 목표로 한다.","Reinforcement Learning: An Introduction (Adaptive Computation and Machine Learning) (Adaptive Computation and Machine Learning series), Richard S. SuttonReinforcement Learning Toolbox Matlab",,,시스템제어,False,True
8953,회로이론1,2,1학기,3.0,전공,본 수업은 전기회로의 해석을 가능하게 하는 이론적 지식을 습득하는 것을 목표로 한다. 회로해석의 기초가 되는 이론의 학습과 문제풀이를 통해 관련 역량을 키운다.,"Fundamentals of electric circuits, 6판, Christopher K. Alexander, Matthew N.O. Sadiku 지음, McGrawHill Education 원서 또는 한글판(Alexander의 회로이론   6판) 사용가능 개정 7판 사용가능",,,"기초물리, 수학",False,True
8954,전자회로1,2,2학기,3.0,전공,"전자회로의 기본 소자인 다이오드, BJT, MOSFET에 대한 이해를 토대로 트랜지스터 증폭기에 대한 지식 습득","Textbook : A. S. Sedra and K. C. Smith,ªMicroelectronic Circuits,ª 2011, 6th Ed.",,,회로이론1,False,True
8955,논리회로,2,1학기,3.0,전공,"1. Basic concept of logci circuit, 2. Basic logic circuit design technique","Main textbook : Fundamentals of digital circuit desgin (박길험외, 디지털 회로 설계의 기초, 도서출판 영, 2006.)Ref. : Fundamentals of Logic Design 6th (Charles H. Roth, Jr. / Cengage Learning), 2010.",,,,False,True
8956,논리회로,2,1학기,3.0,전공,"1. 논리회로 기본 정보 습득, 2.간단한 논리회로 설계가 기법 습득","Main textbook : Fundamentals of digital circuit desgin (박길흠외, 디지털 회로 설계의 기초, 도서출판 영, 2006.)Ref. : Fundamentals of Logic Design (Charles H. Roth, Jr. / Cengage Learning)",,,,False,True
8960,프로그래밍언어,3,1학기,3.0,전공,1) 문제들을 해결하기 위해 컴퓨터 프로그래밍 언어를 습득한다.2) 다양한 문제들을 분석하여 프로그래밍 언어를 사용하여 창의적이고 책임감 있게 문제를 해결할 수 있는 능력을 배양한다.,"교재: 개념을 콕콕 잡아주는 C 프로그래밍 4th Edition, 천정아, 엔아이컴즈, 2017참고문헌: C 프로그래밍 언어에 관련된 모든 자료",,,없음,False,True
8971,에너지전기화학,3,1학기,3.0,전공,전기화학적 지식을 습득하여 전극과 전해질 계면에서 일어나는 다양한 현상에 대하여 이해한다.,"Electrochemical Methods Fundamentals and Applications,  Allen J. And Larry R. Faulkner Bard, Wiley; Second edition (2002)Electrochemical Engineering, Thomas F. Fulle, John N. Harb, Wiley; first edition (2018)",,,에너지열역학,False,True
8978,수치해석,3,2학기,3.0,전공,1) 문제 해결에 필요한 다양한 수치해석 개념을 습득한다.2) 다양한 문제들을 분석하여 매트랩을 이용하여 창의적으로 문제를 해결할 수 있는 능력을 배양한다.,"교재:  매트랩의 정석, 부광석, 박희재, 곽근창 옮김, 인피니티북스 MATLAB으로 배우는 공학 수치해석(개정판), 방성완 지음, 한빛아카데미참고문헌:  수치해석학 바이블, 이병준, 한희재 옮김, 한빛아카데미",,,공학수학,False,True
8979,제어공학,3,2학기,3.0,전공,"제어시스템을 수학적으로 모델링하고, 원하는 스펙에 맞는 제어기를 선택,적용,분석할 수 있다.","Textbook : F. Golnaraghi & B.C. Kuo, “Automatic Control Systems”, Wiley.Reference : R.C. Dorf & R.H. Biship, “Modern Control Systems”, Prentice Hall.",,,"공업수학1/2, 회로이론1/2",False,True
8980,제어공학,3,2학기,3.0,전공,,"Textbook : F. Golnaraghi & B.C. Kuo, “Automatic Control Systems”, Wiley.Reference : R.C. Dorf & R.H. Biship, “Modern Control Systems”, Prentice Hall.",,,"Students must understand the fundamentals of the Lapalace transform and differential equation. Engineering math1/2, Circuit theory1/2",False,True
8983,회로이론2,3,1학기,3.0,전공,본 수업은 전기회로의 해석을 가능하게 하는 이론적 지식을 습득하는 것을 목표로 한다. 회로해석의 기초가 되는 이론의 학습과 문제풀이를 통해 관련 역량을 키운다.,"Fundamentals of electric circuits, 6판, Christopher K. Alexander, Matthew N.O. Sadiku 지음, McGrawHill Education 원서 또는 한글판(Alexander의 회로이론   6판) 사용가능 개정 7판 사용가능",,,회로이론 1,False,True
8986,마이크로프로세서,3,2학기,3.0,전공,마이크로프로세서 이해 및 활용,추후 공지,,,논리회로,False,True
8987,전력전자,3,2학기,3.0,전공,기초 전력변환에 대한 지식 습득,,,,"회로이론1, 회로이론2, 전자회로1",False,True
8988,전자기학개론,3,1학기,3.0,전공,"1. 전장, 자장의 기본 원리 학습 2.전장과 자장이 적용된 전기부품의 기본 특성 해석",Fundamentals of Engineering Electromagnetics : David K.Cheng,,,"물리학1,2",False,True
