source_row_number,year,university_name,college_name,department_name,course_name,grade,semester,credit,lecture_hours,practice_hours,course_type,learning_objective,main_textbook,sub_textbook,reference_material,prerequisite_material
31303,2022,부산대학교,공과대학,정보컴퓨터공학부,일반물리학(I),1,1학기,3,3,0,전공기초,"일반물리학은 두 학기 과정으로, 본 강의의 목표는 자연과학과 공학 전공에 필요한 역학, 열물리, 진동과 파동 등의 기본 개념과 원리를 배우는 것이다.  일반물리학에서 배운 기본 원리들을 실험을 통해 확인할 수 있도록 일반물리학 실험을 함께 수강할 것을 권한다.","Physics for Scientists and Engineers with Modern Physics Raymond A. Serway, John W. Jewett (10판, 번역본)",,1. Plato 2. 교과목 진행 관련 안내문 및 정보는 http://www.phys.pusan.ac.kr에 연결하여‘교육/강의자료/일반물리학’페이지를   참고하기 바람.,고전역학과 열물리 등에 대한 물리 기초지식
31304,2022,부산대학교,공과대학,정보컴퓨터공학부,일반물리학(I),1,1학기,3,3,0,전공기초,"일반물리학은 두 학기 과정으로, 본 강의의 목표는 자연과학과 공학 전공에 필요한 역학, 열물리, 진동과 파동 등의 기본 개념과 원리를 배우는 것이다.  일반물리학에서 배운 기본 원리들을 실험을 통해 확인할 수 있도록 일반물리학 실험을 함께 수강할 것을 권한다.","Physics for Scientists and Engineers with Modern Physics Raymond A. Serway, John W. Jewett (10판, 번역본)",,1. Plato 2. 교과목 진행 관련 안내문 및 정보는 http://www.phys.pusan.ac.kr에 연결하여‘교육/강의자료/일반물리학’페이지를   참고하기 바람.,고전역학과 열물리 등에 대한 물리 기초지식
31305,2022,부산대학교,공과대학,정보컴퓨터공학부,일반물리학(I),1,1학기,3,3,0,전공기초,"일반물리학은 두 학기 과정으로, 본 강의의 목표는 자연과학과 공학 전공에 필요한 역학, 열물리, 진동과 파동 등의 기본 개념과 원리를 배우는 것이다.  일반물리학에서 배운 기본 원리들을 실험을 통해 확인할 수 있도록 일반물리학 실험을 함께 수강할 것을 권한다.","Physics for Scientists and Engineers with Modern Physics Raymond A. Serway, John W. Jewett (10판, 번역본)",,교과목 진행 관련 안내문 및 정보는 http://www.phys.pusan.ac.kr에 연결하여‘교육/강의자료/일반물리학’페이지를   참고하기 바람.,고전역학과 열물리 등에 대한 물리 기초지식
31306,2022,부산대학교,공과대학,정보컴퓨터공학부,일반물리학(II),1,2학기,3,3,0,전공기초,"일반물리학은 두 학기 과정으로, 본 강의의 목표는 자연과학과 공학 전공에 필요한 전자기학 및 광학의 기본 개념과 원리를 배우는 것이다.  일반물리학에서 배운 기본 원리들을 실험을 통해 확인할 수 있도록 일반물리학 실험을 함께 수강할 것을 권장한다.","Physics for Scientists and Engineers with Modern PhysicsRaymond A. Serway, John W. Jewett (10판, 번역본)",,교과목 진행 관련 안내문 및 정보는 http://www.phys.pusan.ac.kr에 연결하여‘교육/강의자료/일반물리학’페이지를   참고하기 바람.,고전역학에 대한 물리 기초지식
31307,2022,부산대학교,공과대학,정보컴퓨터공학부,일반물리학(II),1,2학기,3,3,0,전공기초,"일반물리학은 두 학기 과정으로, 본 강의의 목표는 자연과학과 공학 전공에 필요한 전자기학 및 광학의 기본 개념과 원리를 배우는 것이다.  일반물리학에서 배운 기본 원리들을 실험을 통해 확인할 수 있도록 일반물리학 실험을 함께 수강할 것을 권장한다.","Physics for Scientists and Engineers with Modern PhysicsRaymond A. Serway, John W. Jewett (10판, 번역본)",,교과목 진행 관련 안내문 및 정보는 http://www.phys.pusan.ac.kr에 연결하여‘교육/강의자료/일반물리학’페이지를   참고하기 바람.,고전역학에 대한 물리 기초지식
31308,2022,부산대학교,공과대학,정보컴퓨터공학부,일반물리학(II),1,2학기,3,3,0,전공기초,"일반물리학은 두 학기 과정으로, 본 강의의 목표는 자연과학과 공학 전공에 필요한 전자기학 및 광학의 기본 개념과 원리를 배우는 것이다.  일반물리학에서 배운 기본 원리들을 실험을 통해 확인할 수 있도록 일반물리학 실험을 함께 수강할 것을 권장한다.","대학물리학(Physics for Scientists and Engineers with Modern PhysicsRaymond A. Serway, John W. Jewett (10판, 북스힐, 번역본))",,교과목 진행 관련 안내문 및 정보는 http://www.phys.pusan.ac.kr에 연결하여‘교육/강의자료/일반물리학’페이지를   참고하기 바람.,고전역학에 대한 물리 기초지식
31309,2022,부산대학교,공과대학,정보컴퓨터공학부,이산수학(I),1,1학기,3,3,0,전공기초,"정의, 정리, 증명의 엄격한 과정에 따른 수학적 논리적 사고력을 배양한다. Computer Science의 여러 분야에 필요한 수학적 기본 개념을 숙지한다. 문제 해결 능력과 응용 능력을 제고한다.","Ralph P. Grimaldi Discrete and Combinatorial Mathematics, 5th Edition. Addison Wesley, 2004",,,
31310,2022,부산대학교,공과대학,정보컴퓨터공학부,이산수학(I),1,1학기,3,3,0,전공기초,"정의, 정리, 증명의 엄격한 과정에 따른 수학적 논리적 사고력을 배양한다. Computer Science의 여러 분야에 필요한 수학적 기본 개념을 숙지한다. 문제 해결 능력과 응용 능력을 제고시킨다.","Discrete and Combinatorial Mathematics,  5th Edition. Ralph. P. Grimaldi, Addison Wesley, 2004",,,
31311,2022,부산대학교,공과대학,정보컴퓨터공학부,이산수학(I),1,1학기,3,3,0,전공기초,"정의, 정리, 증명을 통한 수학적 논리적 사고능력을 배양하고, 컴퓨터공학 전공에 필요한 수학적 개념을 체득하도록 한다.  아울러 실제 예제를 통해 문제해결 및 응용 능력을 제고한다.","Discrete and Combinatorial Mathematics, 5th Edition. R.P. Grimaldi, Pearson Education Limited, 2014",,,없음
31312,2022,부산대학교,공과대학,정보컴퓨터공학부,논리회로및설계,2,1학기,3,3,0,전공필수,디지털 하드웨어 설계를 위한 기초 스위칭 이론 및 설계방법 습득,"Logic and Computer Design Fundamentals, 4th Edition, M. Mano and C, Kime, Pearson, 2016",,,
31313,2022,부산대학교,공과대학,정보컴퓨터공학부,논리회로및설계,2,1학기,3,3,0,전공필수,디지털 하드웨어 설계를 위한 기초 스위칭 이론 및 설계방법 습득,"Logic and Computer Design Fundamentals, 4th Edition, M. Mano and C, Kime, Pearson, 2016",,,
31314,2022,부산대학교,공과대학,정보컴퓨터공학부,논리회로및설계,2,1학기,3,3,0,전공필수,디지털 하드웨어 설계를 위한 기초 스위칭 이론 및 설계방법 습득,"Logic and Computer Design Fundamentals, 4th Edition, M. Mano and C, Kime, Pearson, 2016",,,
31315,2022,부산대학교,공과대학,정보컴퓨터공학부,컴퓨터및프로그래밍입문,1,1학기,4,4,0,전공기초,"컴퓨터공학에 대한 흥미를 높여 수월한 전공 진입 유도 프로그래밍 개념, 과정, 동작 방식에 대한 전반적 이해도 향상 파이썬(Python) 프로그래밍 실습을 통한 컴퓨팅 사고력 향상","난생처음 파이썬 프로그래밍 / 우재남,최민아 / 한빛아카데미 / 2021 (시험 응시 시 주교재만 지참 가능)",,매주 PLATO에 강의자료 업로드,없음
31316,2022,부산대학교,공과대학,정보컴퓨터공학부,컴퓨터및프로그래밍입문,1,1학기,4,4,0,전공기초,"Python 언어와 window용 PC에 기초한 코딩, 프로그래밍, 및 시스템 설계에 대한 이해","박동규, 강영민, 으뜸 파이썬, 생능출판사, 2020 http://www.yes24.com/Product/Goods/89140722",,매주 강의자료(PPT)를 PLATO를 통해 배포합니다.,선수과목은 필요하지 않습니다. 집에서 사용할 수 있는 개인용 컴퓨터가 있어야 합니다.
31317,2022,부산대학교,공과대학,정보컴퓨터공학부,컴퓨터및프로그래밍입문,1,1학기,4,4,0,전공기초,"Python 언어와 window용 PC에 기초한 코딩, 프로그래밍, 및 시스템 설계에 대한 이해","박동규, 강영민, 으뜸 파이썬, 생능출판사, 2020 http://www.yes24.com/Product/Goods/89140722",,매주 강의자료(PPT)를 PLATO를 통해 배포합니다.,선수과목은 필요하지 않습니다. 집에서 사용할 수 있는 개인용 컴퓨터가 있어야 합니다.
31318,2022,부산대학교,공과대학,정보컴퓨터공학부,컴퓨터및프로그래밍입문,1,1학기,4,4,0,전공기초,"교육목표   1) 컴퓨터공학 및 과학에 대한 흥미를 높여 수월한 전공 진입을 유도함  컴퓨터가 실제적인 문제 해결의 도구로 활용됨을 경험  코딩 작업 과정을 이해  프로그래밍 작업의 이해  자기 주도적 탐구를 위한 기초 소양 함양  2) 기초적인 컴퓨터 구조에 대한 이해  하드웨어에 대한 이해  운영체제에 대한 이해  Window machine에 대한 이해 (매우 매우 중요)  3) 가장 기본적인 윈도우 시스템 구조 및 조작에 대한 이해  DOS 및 DOS 명령  파일 시스템 구조의 이해 (path, working directory)  수행 파일에 대한 이해  4) 프로그래밍 환경에 대한 이해   프로그래밍 언어에 대한 기초적인 이해  프로그래밍 단계 (Editor 시스템 숙지하기)  프로그래밍 관련 자료 사이트 소개 및 탐색방법  online manual 사용법   5) Python 언어를 통한 실제 코딩  화일 입출력  Control 구조 이해하기   비교   반복  문자열 처리  자료구조의 이해 (리스트)  함수(function)  고차함수 근 구하기    뉴턴랩슨 방식 :   GUI 설계 맛보기  그래픽스 맛보기",으뜸 파이썬/ 생능출판사 /2020  (중간 기말 시험칠 때 주교재만 지참이 허용됩니다. ) http://www.yes24.com/Product/Goods/89140722,,부교재는 수업 중간에 PDF 로 배포합니다.   주교재(으뜸 파이썬/ 생능출판사 /2020  )는 중간 기말 시험에 가지고 와서 활용할 수 있음. (중간 기말은 인터넷을 끈 상태에서 학과 실습실 PC에서 시행함.),선수과목은 필요하지 않습니다. 그러나 집에서 개인적으로 사용할 수 있는 PC 또는 랩탑(notebook) 컴퓨터가 있어야 합니다.
31319,2022,부산대학교,공과대학,정보컴퓨터공학부,컴퓨터및프로그래밍입문,1,1학기,4,4,0,전공기초,컴퓨터공학 및 과학에 대한 흥미를 높여 수월한 전공 진입을 유도함 기초적인 컴퓨터 및 운영체제 구조에 대한 이해 파이썬 프로그래밍 환경에 대한 이해 Python 언어를 통한 실제 코딩,으뜸 파이썬/ 생능출판사 /2020 (중간 기말 시험칠 때 주교재만 지참이 허용됩니다. ),,강의 자료,선수과목은 필요하지 않습니다. 그러나 집에서 개인적으로 사용할 수 있는 PC 또는 노트북이 있어야 합니다.
31320,2022,부산대학교,공과대학,정보컴퓨터공학부,프로그래밍원리와실습,1,1학기,4,4,0,전공기초,C언어의 개념 파악 및 RobotC 추가 교육 실습을 통한 프로그램 실습 실세계에 응용할 수 있는 방법에 대해 교육,Playing with C 우균 창병모 지음 교보문고,,기타 다른 C 언어 교재,없음
31321,2022,부산대학교,공과대학,정보컴퓨터공학부,프로그래밍원리와실습,1,2학기,4,4,0,전공기초,"본 교과목은 프로그래밍 개발 역량을 배양하기 위해 C 프로그래밍 언어를 이용하여 프로그래밍의 기초, 구조적 프로그래밍 등 프로그래밍 기본 원리와 S/W 개발의 기본 원칙을 학습한다.","모든 강의 자료는 PLATO(http://plato.pusan.ac.kr)를 통해 제공된다. 필수 주교재는 없으나 아래 책을 학습에 활용할 것을 권장한다.  “The C Programming Language. 2nd ed.,” Kernighan, Brian, and Dennis Ritchie. Upper Saddle River, NJ: Prentice Hall, 1988. ISBN: 9780131103627.  “Playing with C”, 우균 창병모 지음 교보문고",,,"본 교과목에 대한 공식 선수과목은 없다.  그러나 “CB16700:컴퓨터및프로그래밍입문""의 선 이수를 강하게 권고한다"
31322,2022,부산대학교,공과대학,정보컴퓨터공학부,프로그래밍원리와실습,1,2학기,4,4,0,전공기초,"본 교과목은 프로그래밍 개발 역량을 배양하기 위해 C 프로그래밍 언어를 이용하여 프로그래밍의 기초, 구조적 프로그래밍 등 프로그래밍 기본 원리와 S/W 개발의 기본 원칙을 학습한다.","모든 강의 자료는 PLATO(http://plato.pusan.ac.kr)를 통해 제공된다. 필수 주교재는 없으나 아래 책을 학습에 활용할 것을 권장한다. “The C Programming Language. 2nd ed.,” Kernighan, Brian, and Dennis Ritchie. Upper Saddle River, NJ: Prentice Hall, 1988. ISBN: 9780131103627. “Playing with C”, 우균 창병모 지음 교보문고",,,"본 교과목에 대한 공식 선수과목은 없다. 그러나 “CB16700:컴퓨터및프로그래밍입문""의 선 이수를 강하게 권고한다"
