slug,name,depth,parent_slug,topic_type,priority,is_active,note
programming,프로그래밍,1,,domain,P0,true,MVP 핵심 대분류
computer-science-basics,컴퓨터공학 기초,1,,domain,P0,true,MVP 핵심 대분류
software-engineering,SW 공학,1,,domain,P1,true,
web-development,웹 개발,1,,domain,P1,true,
database,데이터베이스,1,,domain,P1,true,
math-statistics,수학 및 통계,1,,domain,P1,true,
data-analysis,데이터 분석,1,,domain,P1,true,
artificial-intelligence,인공지능,1,,domain,P1,true,
devtools-devops,개발 도구 및 DevOps,1,,domain,P1,true,

python,Python,2,programming,subject,P0,true,
javascript,JavaScript,2,programming,subject,P1,true,
java,Java,2,programming,subject,P1,true,
c-language,C언어,2,programming,subject,P0,true,C++는 표준 Topic으로 추가하지 않음
programming-basic-syntax,프로그래밍 기초 문법,2,programming,subject,P0,true,
oop,객체지향 프로그래밍,2,programming,subject,P0,true,
problem-solving-coding-basics,문제 해결과 코딩 기초,2,programming,subject,P0,true,

data-structures,자료구조,2,computer-science-basics,subject,P0,true,
algorithms,알고리즘,2,computer-science-basics,subject,P0,true,
operating-systems,운영체제,2,computer-science-basics,subject,P1,true,
networks,네트워크,2,computer-science-basics,subject,P0,true,
computer-architecture,컴퓨터구조,2,computer-science-basics,subject,P1,true,
system-programming-basics,시스템 프로그래밍 기초,2,computer-science-basics,subject,P2,true,

software-design,소프트웨어 설계,2,software-engineering,subject,P1,true,
object-oriented-design,객체지향 설계,2,software-engineering,subject,P1,true,
design-patterns,디자인 패턴,2,software-engineering,subject,P1,true,
requirements-analysis,요구사항 분석,2,software-engineering,subject,P1,true,
testing,테스트,2,software-engineering,subject,P1,true,
api-design,API 설계,2,software-engineering,subject,P1,true,
code-quality-refactoring,코드 품질과 리팩토링,2,software-engineering,subject,P1,true,
project-structuring,프로젝트 구조화,2,software-engineering,subject,P1,true,

html-css,HTML/CSS,2,web-development,subject,P1,true,특수문자 예외 허용
javascript-web-basics,JavaScript 웹 기초,2,web-development,subject,P1,true,
frontend-development,프론트엔드 개발,2,web-development,subject,P1,true,
backend-development,백엔드 개발,2,web-development,subject,P1,true,
rest-api,REST API,2,web-development,subject,P1,true,특수문자 예외 허용
authentication-authorization,인증과 인가,2,web-development,subject,P1,true,
web-security-basics,웹 보안 기초,2,web-development,subject,P1,true,
django,Django,2,web-development,subject,P1,true,
spring-boot,Spring Boot,2,web-development,subject,P1,true,
react,React,2,web-development,subject,P1,true,
vue,Vue,2,web-development,subject,P1,true,

sql,SQL,2,database,subject,P1,true,
relational-database,관계형 데이터베이스,2,database,subject,P1,true,
nosql,NoSQL,2,database,subject,P1,true,
data-modeling,데이터 모델링,2,database,subject,P1,true,
normalization,정규화,2,database,subject,P1,true,
transactions,트랜잭션,2,database,subject,P1,true,
database-design,데이터베이스 설계,2,database,subject,P1,true,
orm,ORM,2,database,subject,P1,true,

linear-algebra,선형대수,2,math-statistics,subject,P1,true,
calculus,미적분,2,math-statistics,subject,P1,true,
probability-statistics,확률과 통계,2,math-statistics,subject,P1,true,
discrete-mathematics,이산수학,2,math-statistics,subject,P1,true,컴퓨터공학 기초에서는 제거
optimization,최적화,2,math-statistics,subject,P1,true,
statistical-inference,통계적 추론,2,math-statistics,subject,P1,true,
regression-analysis,회귀분석,2,math-statistics,subject,P1,true,
numerical-analysis,수치해석,2,math-statistics,subject,P1,true,샘플 데이터 반복 등장으로 추가

data-collection,데이터 수집,2,data-analysis,subject,P1,true,
data-preprocessing,데이터 전처리,2,data-analysis,subject,P1,true,
numpy,NumPy,2,data-analysis,subject,P1,true,
pandas,Pandas,2,data-analysis,subject,P1,true,
exploratory-data-analysis,탐색적 데이터 분석,2,data-analysis,subject,P1,true,
data-visualization,데이터 시각화,2,data-analysis,subject,P1,true,
statistical-analysis,통계 분석,2,data-analysis,subject,P1,true,
feature-engineering,피처 엔지니어링,2,data-analysis,subject,P1,true,
data-analysis-project,데이터 분석 프로젝트,2,data-analysis,subject,P1,true,

machine-learning,머신러닝,2,artificial-intelligence,subject,P1,true,
deep-learning,딥러닝,2,artificial-intelligence,subject,P1,true,
natural-language-processing,자연어 처리,2,artificial-intelligence,subject,P1,true,띄어쓰기 표준
computer-vision,컴퓨터 비전,2,artificial-intelligence,subject,P1,true,띄어쓰기 표준
generative-ai,생성형 AI,2,artificial-intelligence,subject,P1,true,혼합 표기 허용
recommender-systems,추천 시스템,2,artificial-intelligence,subject,P1,true,
reinforcement-learning,강화학습,2,artificial-intelligence,subject,P1,true,
model-evaluation,모델 평가,2,artificial-intelligence,subject,P1,true,
mlops-basics,MLOps 기초,2,artificial-intelligence,subject,P1,true,
ai-ethics,AI 윤리,2,artificial-intelligence,subject,P1,true,

git,Git,2,devtools-devops,subject,P1,true,
github,GitHub,2,devtools-devops,subject,P1,true,
cli,CLI,2,devtools-devops,subject,P1,true,
ide,IDE,2,devtools-devops,subject,P1,true,
linux,Linux,2,devtools-devops,subject,P1,true,
server-basics,서버 기초,2,devtools-devops,subject,P1,true,
docker,Docker,2,devtools-devops,subject,P1,true,
deployment,배포,2,devtools-devops,subject,P1,true,
ci-cd,CI/CD,2,devtools-devops,subject,P1,true,특수문자 예외 허용
cloud-basics,클라우드 기초,2,devtools-devops,subject,P1,true,클라우드 컴퓨팅은 alias 처리
collaboration-workflow,협업 워크플로우,2,devtools-devops,subject,P1,true,
code-review,코드 리뷰,2,devtools-devops,subject,P1,true,
documentation,문서화,2,devtools-devops,subject,P1,true,
issue-management,이슈 관리,2,devtools-devops,subject,P1,true
