source_dataset,source_lookup_key,source_title,candidate_name,suggested_parent_slug,topic_slug,topic_name,relevance_score,exclusion_reason
course,10164,플랜트 빅데이터 분석 실습,,,data-analysis,데이터 분석,0.98,existing_topic_not_auto_link_candidate
course,10164,플랜트 빅데이터 분석 실습,,,python,Python,0.45,existing_topic_not_auto_link_candidate
course,10164,플랜트 빅데이터 분석 실습,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,10165,인공지능 및 기계학습 개론,,,artificial-intelligence,인공지능,0.95,existing_topic_not_auto_link_candidate
course,10165,인공지능 및 기계학습 개론,,,python,Python,0.50,existing_topic_not_auto_link_candidate
course,10165,인공지능 및 기계학습 개론,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,10659,빅데이터 기초 실습,,,statistical-analysis,통계 분석,0.50,existing_topic_not_auto_link_candidate
course,11503,데이터베이스 디자인,,,database,데이터베이스,0.95,existing_topic_not_auto_link_candidate
course,11523,데이터분석론,,,data-analysis,데이터 분석,0.83,existing_topic_not_auto_link_candidate
course,11523,데이터분석론,,,data-preprocessing,데이터 전처리,0.70,existing_topic_not_auto_link_candidate
course,11523,데이터분석론,,,data-visualization,데이터 시각화,0.70,existing_topic_not_auto_link_candidate
course,11523,데이터분석론,,,pandas,Pandas,0.50,existing_topic_not_auto_link_candidate
course,11523,데이터분석론,,,python,Python,0.45,existing_topic_not_auto_link_candidate
course,11525,데이터사이언스개론,,,data-analysis,데이터 분석,0.83,existing_topic_not_auto_link_candidate
course,11525,데이터사이언스개론,,,data-preprocessing,데이터 전처리,0.70,existing_topic_not_auto_link_candidate
course,11525,데이터사이언스개론,,,data-visualization,데이터 시각화,0.70,existing_topic_not_auto_link_candidate
course,11525,데이터사이언스개론,,,python,Python,0.50,existing_topic_not_auto_link_candidate
course,14304,수리적빅데이터개론(캡스톤디자인),,,python,Python,0.68,course_prerequisite_relation_excluded
course,14357,데이터마이닝 및 실험,,,machine-learning,머신러닝,0.75,existing_topic_not_auto_link_candidate
course,14357,데이터마이닝 및 실험,,,python,Python,0.45,existing_topic_not_auto_link_candidate
course,14357,데이터마이닝 및 실험,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,14357,데이터마이닝 및 실험,,,regression-analysis,회귀분석,0.68,course_prerequisite_relation_excluded
course,14357,데이터마이닝 및 실험,회귀,machine-learning,,,0.65,approved_depth3_relevance_below_threshold
course,14357,데이터마이닝 및 실험,,,statistical-analysis,통계 분석,0.65,course_prerequisite_relation_excluded
course,14358,데이터마이닝 및 실험,,,python,Python,0.45,existing_topic_not_auto_link_candidate
course,14358,데이터마이닝 및 실험,회귀,machine-learning,,,0.65,approved_depth3_relevance_below_threshold
course,14363,빅데이터분석 및 실험,회귀,machine-learning,,,0.65,approved_depth3_relevance_below_threshold
course,14647,생활속의통계,,,probability-statistics,확률과 통계,0.45,existing_topic_not_auto_link_candidate
course,14659,C프로그래밍과실습,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,14659,C프로그래밍과실습,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14659,C프로그래밍과실습,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,14659,C프로그래밍과실습,,,programming-basic-syntax,프로그래밍 기초 문법,0.50,existing_topic_not_auto_link_candidate
course,14660,C프로그래밍과실습,,,programming,프로그래밍,1.00,existing_topic_not_auto_link_candidate
course,14660,C프로그래밍과실습,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,14660,C프로그래밍과실습,,,programming-basic-syntax,프로그래밍 기초 문법,0.50,existing_topic_not_auto_link_candidate
course,14714,기초전기공학실험설계 2,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14726,공학수학 2,,,calculus,미적분,0.80,existing_topic_not_auto_link_candidate
course,14728,종합설계프로젝트1,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14783,이산수학,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14788,이산수학,,,data-structures,자료구조,0.80,existing_topic_not_auto_link_candidate
course,14788,이산수학,,,c-language,C언어,0.65,course_prerequisite_relation_excluded
course,14789,자료구조,,,problem-solving-coding-basics,문제 해결과 코딩 기초,0.75,existing_topic_not_auto_link_candidate
course,14789,자료구조,,,programming,프로그래밍,0.68,course_prerequisite_relation_excluded
course,14790,자료구조,,,c-language,C언어,0.50,existing_topic_not_auto_link_candidate
course,14791,자료구조,,,c-language,C언어,0.68,course_prerequisite_relation_excluded
course,14804,운영체제,,,linux,Linux,0.50,existing_topic_not_auto_link_candidate
