curriculum_course_lookup_key,course_name,topic_lookup_key,topic_name,topic_depth,parent_topic_slug,relevance_score,extraction_method,is_primary,matched_fields,match_types,link_type
10164,플랜트 빅데이터 분석 실습,data-analysis-project,데이터 분석 프로젝트,,,0.90,keyword,true,course_name_clean,alias,existing_topic
10165,인공지능 및 기계학습 개론,machine-learning,머신러닝,,,0.93,keyword,true,course_name_clean|main_textbook_clean,alias|topic_name,existing_topic
14660,C프로그래밍과실습,function,함수,3,programming-basic-syntax,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
14726,공학수학 2,vector,벡터,3,linear-algebra,0.80,keyword,true,learning_objective_clean,depth3_candidate,approved_depth3
14731,선형대수,linear-algebra,선형대수,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
14731,선형대수,eigenvalue-eigenvector,고윳값과 고유벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14731,선형대수,inverse-matrix,역행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14731,선형대수,linear-transformation,선형변환,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14731,선형대수,matrix,행렬,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14731,선형대수,vector,벡터,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14731,선형대수,vector-space,벡터공간,3,linear-algebra,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14732,수치해석,numerical-analysis,수치해석,,,0.98,keyword,true,course_name_clean|main_textbook_clean,alias|topic_name,existing_topic
14781,이산수학,discrete-mathematics,이산수학,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
14781,이산수학,graph-data-structure,그래프 자료구조,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14781,이산수학,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14782,이산수학,discrete-mathematics,이산수학,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
14782,이산수학,graph-data-structure,그래프 자료구조,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14782,이산수학,tree,트리,3,data-structures,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14783,이산수학,discrete-mathematics,이산수학,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
14785,이산수학,discrete-mathematics,이산수학,,,1.00,keyword,true,course_name_clean|learning_objective_clean,topic_name,existing_topic
14788,이산수학,discrete-mathematics,이산수학,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
14789,자료구조,data-structures,자료구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
14790,자료구조,data-structures,자료구조,,,0.98,keyword,true,course_name_clean|main_textbook_clean,topic_name,existing_topic
14790,자료구조,searching,탐색,3,algorithms,0.80,keyword,false,learning_objective_clean,depth3_candidate,approved_depth3
14791,자료구조,data-structures,자료구조,,,0.98,keyword,true,course_name_clean|main_textbook_clean,topic_name,existing_topic
14792,자료구조,data-structures,자료구조,,,0.95,keyword,true,course_name_clean,topic_name,existing_topic
