resource_row_index,source_type,external_id,title,title_clean,keyword_order,keyword,keyword_match
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,1,아두이노(Arduino),아두이노(arduino)
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,2,피지컬 컴퓨팅,피지컬 컴퓨팅
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,3,임베디드 시스템,임베디드 시스템
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,4,C/C++ 기반 프로그래밍,c/c++ 기반 프로그래밍
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,5,변수,변수
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,6,조건문,조건문
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,7,반복문제,반복문제
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,8,함수(Function),함수(function)
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,9,센서(Sensor),센서(sensor)
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,10,액추에이터(Actuator),액추에이터(actuator)
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,11,디지털/아날로그 입출력,디지털/아날로그 입출력
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,12,시리얼 통신,시리얼 통신
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,13,회로 설계 기초,회로 설계 기초
0,KOCW,607f5aaa31467d55,프로그래밍개론,프로그래밍개론,14,문제 해결 능력,문제 해결 능력
1,KOCW,77b5b8f2d825bc0b,AI 리터러시,AI 리터러시,1,컴퓨터,컴퓨터
1,KOCW,77b5b8f2d825bc0b,AI 리터러시,AI 리터러시,2,생성형 AI,생성형 ai
1,KOCW,77b5b8f2d825bc0b,AI 리터러시,AI 리터러시,3,알고리즘,알고리즘
1,KOCW,77b5b8f2d825bc0b,AI 리터러시,AI 리터러시,4,가상화,가상화
1,KOCW,77b5b8f2d825bc0b,AI 리터러시,AI 리터러시,5,제미나이,제미나이
1,KOCW,77b5b8f2d825bc0b,AI 리터러시,AI 리터러시,6,구글,구글
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,1,인공지능의 사회적 책임,인공지능의 사회적 책임
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,2,윤리적 쟁점,윤리적 쟁점
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,3,AI 시스템 보안,ai 시스템 보안
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,4,리스크 관리,리스크 관리
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,5,OpenAI API,openai api
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,6,최신 LLM 도구,최신 llm 도구
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,7,ChatGPT 프롬프트 엔지니어링,chatgpt 프롬프트 엔지니어링
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,8,임베딩,임베딩
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,9,벡터 검색,벡터 검색
2,KOCW,dc3da489762e213c,인공지능기초,인공지능기초,10,AI 응용 시스템 기획,ai 응용 시스템 기획
