source_row_number,course_name,department_name,college_name,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,relation_hint,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
10164,플랜트 빅데이터 분석 실습,융복합시스템공학부 플랜트시스템전공,과학기술대학,data-analysis,데이터 분석,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
10164,플랜트 빅데이터 분석 실습,융복합시스템공학부 플랜트시스템전공,과학기술대학,data-analysis-project,데이터 분석 프로젝트,,,,0.9,course_name_clean,alias,,true,false,true,1
10164,플랜트 빅데이터 분석 실습,융복합시스템공학부 플랜트시스템전공,과학기술대학,python,Python,,,,0.45,main_textbook_clean,alias,,true,false,false,1
10164,플랜트 빅데이터 분석 실습,융복합시스템공학부 플랜트시스템전공,과학기술대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
10165,인공지능 및 기계학습 개론,융복합시스템공학부 플랜트시스템전공,과학기술대학,artificial-intelligence,인공지능,,,,0.95,course_name_clean,topic_name,,true,false,true,1
10165,인공지능 및 기계학습 개론,융복합시스템공학부 플랜트시스템전공,과학기술대학,machine-learning,머신러닝,,,,0.93,course_name_clean|main_textbook_clean,alias|topic_name,,true,false,true,3
10165,인공지능 및 기계학습 개론,융복합시스템공학부 플랜트시스템전공,과학기술대학,python,Python,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
10165,인공지능 및 기계학습 개론,융복합시스템공학부 플랜트시스템전공,과학기술대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
10658,빅데이터 기초 실습,농업토목.생물산업공학부,농업생명과학대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
10659,빅데이터 기초 실습,농업토목.생물산업공학부,농업생명과학대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
10659,빅데이터 기초 실습,농업토목.생물산업공학부,농업생명과학대학,statistical-analysis,통계 분석,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
11503,데이터베이스 디자인,문헌정보학과,사회과학대학,database,데이터베이스,,,,0.95,course_name_clean,topic_name,,true,false,true,1
11523,데이터분석론,문헌정보학과,사회과학대학,data-analysis,데이터 분석,,,,0.83,learning_objective_clean|main_textbook_clean,topic_name,,true,false,false,2
11523,데이터분석론,문헌정보학과,사회과학대학,data-preprocessing,데이터 전처리,,,,0.7,learning_objective_clean,alias,,true,false,false,1
11523,데이터분석론,문헌정보학과,사회과학대학,data-visualization,데이터 시각화,,,,0.7,learning_objective_clean,alias,,true,false,false,1
11523,데이터분석론,문헌정보학과,사회과학대학,pandas,Pandas,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
11523,데이터분석론,문헌정보학과,사회과학대학,python,Python,,,,0.45,main_textbook_clean,alias,,true,false,false,1
11525,데이터사이언스개론,문헌정보학과,사회과학대학,data-analysis,데이터 분석,,,,0.83,learning_objective_clean|main_textbook_clean,topic_name,,true,false,false,2
11525,데이터사이언스개론,문헌정보학과,사회과학대학,data-preprocessing,데이터 전처리,,,,0.7,learning_objective_clean,alias,,true,false,false,1
11525,데이터사이언스개론,문헌정보학과,사회과학대학,data-visualization,데이터 시각화,,,,0.7,learning_objective_clean,alias,,true,false,false,1
11525,데이터사이언스개론,문헌정보학과,사회과학대학,python,Python,,,,0.5,main_textbook_clean,alias|topic_name,,true,false,false,2
14304,수리적빅데이터개론(캡스톤디자인),수학과,자연과학대학,python,Python,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14357,데이터마이닝 및 실험,통계학과,자연과학대학,machine-learning,머신러닝,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14357,데이터마이닝 및 실험,통계학과,자연과학대학,python,Python,,,,0.45,main_textbook_clean,alias,,true,false,false,1
14357,데이터마이닝 및 실험,통계학과,자연과학대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14357,데이터마이닝 및 실험,통계학과,자연과학대학,regression-analysis,회귀분석,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14357,데이터마이닝 및 실험,통계학과,자연과학대학,,,회귀,machine-learning,3,0.65,prerequisite_material_clean,depth3_candidate,prerequisite,false,true,false,1
14357,데이터마이닝 및 실험,통계학과,자연과학대학,statistical-analysis,통계 분석,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
14358,데이터마이닝 및 실험,통계학과,자연과학대학,python,Python,,,,0.45,main_textbook_clean,alias,,true,false,false,1
14358,데이터마이닝 및 실험,통계학과,자연과학대학,,,회귀,machine-learning,3,0.65,prerequisite_material_clean,depth3_candidate,prerequisite,false,true,false,1
14363,빅데이터분석 및 실험,통계학과,자연과학대학,,,회귀,machine-learning,3,0.65,prerequisite_material_clean,depth3_candidate,prerequisite,false,true,false,1
14647,생활속의통계,전기공학과,IT대학,probability-statistics,확률과 통계,,,,0.45,main_textbook_clean,alias,,true,false,false,1
14659,C프로그래밍과실습,전기공학과,IT대학,programming,프로그래밍,,,,1.0,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,,true,false,true,3
14659,C프로그래밍과실습,전기공학과,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14659,C프로그래밍과실습,전기공학과,IT대학,c-language,C언어,,,,0.5,main_textbook_clean,alias|topic_name,,true,false,false,2
14659,C프로그래밍과실습,전기공학과,IT대학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.5,main_textbook_clean,alias,,true,false,false,1
14660,C프로그래밍과실습,전기공학과,IT대학,programming,프로그래밍,,,,1.0,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,,true,false,true,3
14660,C프로그래밍과실습,전기공학과,IT대학,,,함수,programming-basic-syntax,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14660,C프로그래밍과실습,전기공학과,IT대학,c-language,C언어,,,,0.5,main_textbook_clean,alias|topic_name,,true,false,false,2
14660,C프로그래밍과실습,전기공학과,IT대학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.5,main_textbook_clean,alias,,true,false,false,1
14714,기초전기공학실험설계 2,전기공학과,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14714,기초전기공학실험설계 2,전기공학과,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14726,공학수학 2,전기공학과,IT대학,,,벡터,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14726,공학수학 2,전기공학과,IT대학,calculus,미적분,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14728,종합설계프로젝트1,전기공학과,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14731,선형대수,전기공학과,IT대학,linear-algebra,선형대수,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14731,선형대수,전기공학과,IT대학,,,고윳값과 고유벡터,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14731,선형대수,전기공학과,IT대학,,,벡터,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14731,선형대수,전기공학과,IT대학,,,벡터공간,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14731,선형대수,전기공학과,IT대학,,,선형변환,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14731,선형대수,전기공학과,IT대학,,,역행렬,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14731,선형대수,전기공학과,IT대학,,,행렬,linear-algebra,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14732,수치해석,전기공학과,IT대학,numerical-analysis,수치해석,,,,0.98,course_name_clean|main_textbook_clean,alias|topic_name,,true,false,true,2
14781,이산수학,전자공학부,IT대학,discrete-mathematics,이산수학,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14781,이산수학,전자공학부,IT대학,,,그래프 자료구조,data-structures,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14781,이산수학,전자공학부,IT대학,,,트리,data-structures,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14782,이산수학,전자공학부,IT대학,discrete-mathematics,이산수학,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14782,이산수학,전자공학부,IT대학,,,그래프 자료구조,data-structures,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14782,이산수학,전자공학부,IT대학,,,트리,data-structures,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14783,이산수학,전자공학부,IT대학,discrete-mathematics,이산수학,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14783,이산수학,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14783,이산수학,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14785,이산수학,전자공학부,IT대학,discrete-mathematics,이산수학,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14788,이산수학,전자공학부,IT대학,discrete-mathematics,이산수학,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14788,이산수학,전자공학부,IT대학,data-structures,자료구조,,,,0.8,learning_objective_clean,topic_name,,true,false,false,1
14788,이산수학,전자공학부,IT대학,c-language,C언어,,,,0.65,prerequisite_material_clean,alias,prerequisite,true,false,false,1
14789,자료구조,전자공학부,IT대학,data-structures,자료구조,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14789,자료구조,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14789,자료구조,전자공학부,IT대학,programming,프로그래밍,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14790,자료구조,전자공학부,IT대학,data-structures,자료구조,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
14790,자료구조,전자공학부,IT대학,,,탐색,algorithms,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14790,자료구조,전자공학부,IT대학,c-language,C언어,,,,0.5,main_textbook_clean,alias|topic_name,,true,false,false,2
14791,자료구조,전자공학부,IT대학,data-structures,자료구조,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
14791,자료구조,전자공학부,IT대학,c-language,C언어,,,,0.68,main_textbook_clean|prerequisite_material_clean,alias|topic_name,prerequisite,true,false,false,3
14792,자료구조,전자공학부,IT대학,data-structures,자료구조,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14804,운영체제,전자공학부,IT대학,operating-systems,운영체제,,,,0.98,course_name_clean|main_textbook_clean,topic_name,,true,false,true,2
14804,운영체제,전자공학부,IT대학,linux,Linux,,,,0.5,main_textbook_clean,topic_name,,true,false,false,1
14804,운영체제,전자공학부,IT대학,data-structures,자료구조,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14804,운영체제,전자공학부,IT대학,java,Java,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14805,운영체제,전자공학부,IT대학,operating-systems,운영체제,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14805,운영체제,전자공학부,IT대학,data-structures,자료구조,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14805,운영체제,전자공학부,IT대학,java,Java,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14807,운영체제,전자공학부,IT대학,operating-systems,운영체제,,,,1.0,course_name_clean|learning_objective_clean,topic_name,,true,false,true,2
14807,운영체제,전자공학부,IT대학,data-structures,자료구조,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14807,운영체제,전자공학부,IT대학,java,Java,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14808,알고리즘1,전자공학부,IT대학,algorithms,알고리즘,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14808,알고리즘1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14808,알고리즘1,전자공학부,IT대학,data-structures,자료구조,,,,0.68,prerequisite_material_clean,topic_name,prerequisite,true,false,false,1
14810,알고리즘1,전자공학부,IT대학,algorithms,알고리즘,,,,0.95,course_name_clean,topic_name,,true,false,true,1
14810,알고리즘1,전자공학부,IT대학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.75,learning_objective_clean,alias,,true,false,false,1
14811,데이타통신,전자공학부,IT대학,,,인터넷,networks,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14812,데이타통신,전자공학부,IT대학,,,인터넷,networks,3,0.8,learning_objective_clean,depth3_candidate,,false,true,false,1
14815,인공지능,전자공학부,IT대학,artificial-intelligence,인공지능,,,,1.0,course_name_clean|learning_objective_clean|main_textbook_clean,topic_name,,true,false,true,3
