external_id,title,provider_name,main_category,sub_category,topic_slug,topic_name,candidate_name,suggested_parent_slug,suggested_depth,relevance_score,matched_fields,match_types,is_existing_topic,needs_review,is_auto_link_candidate,evidence_count
0fa44287c0998043,C프로그래밍 고급,한동대학교,공학,정보통신공학,programming,프로그래밍,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
0fa44287c0998043,C프로그래밍 고급,한동대학교,공학,정보통신공학,c-language,C언어,,,,0.82,description_body_clean,alias|topic_name,true,false,false,2
0fa44287c0998043,C프로그래밍 고급,한동대학교,공학,정보통신공학,,,배열,data-structures,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
0fa44287c0998043,C프로그래밍 고급,한동대학교,공학,정보통신공학,,,함수,programming-basic-syntax,3,0.82,description_body_clean,depth3_candidate,false,true,false,1
0fa44287c0998043,C프로그래밍 고급,한동대학교,공학,정보통신공학,operating-systems,운영체제,,,,0.82,description_body_clean,topic_name,true,false,false,1
0fa44287c0998043,C프로그래밍 고급,한동대학교,공학,정보통신공학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.77,description_body_clean,alias,true,false,false,1
10fc1ba125aa910c,의료보건빅데이터분석,인제대학교,공학,정보과학,artificial-intelligence,인공지능,,,,0.91,description_keyword_items|description_keywords_raw,topic_name,true,false,false,2
10fc1ba125aa910c,의료보건빅데이터분석,인제대학교,공학,정보과학,algorithms,알고리즘,,,,0.8,description_body_clean,topic_name,true,false,false,1
14681297019d55cc,컴퓨터과학과 코딩,국립군산대학교,공학,컴퓨터과학,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.92,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
14681297019d55cc,컴퓨터과학과 코딩,국립군산대학교,공학,컴퓨터과학,python,Python,,,,0.87,description_body_clean|description_keyword_items|description_keywords_raw,alias,true,false,true,3
14681297019d55cc,컴퓨터과학과 코딩,국립군산대학교,공학,컴퓨터과학,programming,프로그래밍,,,,0.82,description_body_clean,topic_name,true,false,false,1
14681297019d55cc,컴퓨터과학과 코딩,국립군산대학교,공학,컴퓨터과학,programming-basic-syntax,프로그래밍 기초 문법,,,,0.77,description_body_clean,alias,true,false,false,1
1759e84268558322,컴퓨터 활용,광주여자대학교,공학,컴퓨터과학,statistical-analysis,통계 분석,,,,0.82,description_body_clean,topic_name,true,false,false,1
19562,웨어러블 컴퓨터 디자인,세종대학교,공학,컴퓨터 · 통신,,,리스트,data-structures,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19568,데이터 분석 기초,한국연구재단 산업교육센터,공학,컴퓨터 · 통신,data-analysis,데이터 분석,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
19568,데이터 분석 기초,한국연구재단 산업교육센터,공학,컴퓨터 · 통신,artificial-intelligence,인공지능,,,,0.8,description_body_clean,topic_name,true,false,false,1
19573,인공지능과문제해결,우석대학교,공학,컴퓨터 · 통신,artificial-intelligence,인공지능,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
19573,인공지능과문제해결,우석대학교,공학,컴퓨터 · 통신,problem-solving-coding-basics,문제 해결과 코딩 기초,,,,0.98,description_body_clean|title_clean,alias,true,false,true,2
19573,인공지능과문제해결,우석대학교,공학,컴퓨터 · 통신,,,프롬프트 엔지니어링,generative-ai,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19573,인공지능과문제해결,우석대학교,공학,컴퓨터 · 통신,programming,프로그래밍,,,,0.8,description_body_clean,topic_name,true,false,false,1
19573,인공지능과문제해결,우석대학교,공학,컴퓨터 · 통신,python,Python,,,,0.75,description_body_clean,alias,true,false,false,2
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,artificial-intelligence,인공지능,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,,,Transformer,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,2
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,,,임베딩,generative-ai,3,0.8,description_body_clean,depth3_candidate,false,true,false,2
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,,,기댓값과 분산,probability-statistics,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,,,신경망,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,,,재귀,algorithms,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19596,생성형 인공지능 입문,세종대학교,공학,컴퓨터 · 통신,networks,네트워크,,,,0.8,description_body_clean,topic_name,true,false,false,1
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,machine-learning,머신러닝,,,,1.0,description_body_clean|title_clean,topic_name,true,false,true,2
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,과적합,machine-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,2
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,벡터,linear-algebra,3,0.8,description_body_clean,depth3_candidate,false,true,false,2
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,분류,machine-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,2
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,변수,programming-basic-syntax,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,비지도학습,machine-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,역전파,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19597,모두를 위한 머신러닝,세종대학교,공학,컴퓨터 · 통신,,,지도학습,machine-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19600,데이터베이스 보안,세종대학교,공학,컴퓨터 · 통신,database,데이터베이스,,,,1.0,description_body_clean|title_clean,alias|topic_name,true,false,false,3
19600,데이터베이스 보안,세종대학교,공학,컴퓨터 · 통신,algorithms,알고리즘,,,,0.8,description_body_clean,topic_name,true,false,false,1
19600,데이터베이스 보안,세종대학교,공학,컴퓨터 · 통신,relational-database,관계형 데이터베이스,,,,0.8,description_body_clean,topic_name,true,false,false,1
19600,데이터베이스 보안,세종대학교,공학,컴퓨터 · 통신,sql,SQL,,,,0.8,description_body_clean,topic_name,true,false,false,1
19600,데이터베이스 보안,세종대학교,공학,컴퓨터 · 통신,authentication-authorization,인증과 인가,,,,0.7,description_body_clean,alias,true,false,false,1
19600,데이터베이스 보안,세종대학교,공학,컴퓨터 · 통신,server-basics,서버 기초,,,,0.7,description_body_clean,alias,true,false,false,1
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,deep-learning,딥러닝,,,,1.0,description_body_clean|title_clean,topic_name,true,false,true,2
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,,,Transformer,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,2
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,,,CNN,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,,,RNN,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,,,분류,machine-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,,,신경망,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,,,역전파,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19643,현대 딥러닝 구조의 이해와 응용,성균관대학교,공학,컴퓨터 · 통신,algorithms,알고리즘,,,,0.8,description_body_clean,topic_name,true,false,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,artificial-intelligence,인공지능,,,,1.0,description_body_clean|title_clean,topic_name,true,false,false,2
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,,,CNN,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,,,신경망,deep-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,,,지도학습,machine-learning,3,0.8,description_body_clean,depth3_candidate,false,true,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,algorithms,알고리즘,,,,0.8,description_body_clean,topic_name,true,false,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,database,데이터베이스,,,,0.8,description_body_clean,topic_name,true,false,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,networks,네트워크,,,,0.8,description_body_clean,topic_name,true,false,false,1
19648,인공지능의 기초 이해,고려대학교,공학,컴퓨터 · 통신,python,Python,,,,0.8,description_body_clean,topic_name,true,false,false,1
1966b264204f1a3e,라즈베리파이 실습,부산외국어대학교,공학,소프트웨어공학,software-design,소프트웨어 설계,,,,0.82,description_body_clean,topic_name,true,false,false,1
19674,데이터의 힘 : 뇌를 닮은 알고리즘과 딥러닝 탐험,명지전문대학,공학,컴퓨터 · 통신,algorithms,알고리즘,,,,1.0,description_body_clean|title_clean,topic_name,true,false,true,2
